	scores	logfoldchanges	pvals	pvals_adj
IFITM1	21.8638	3.7072158	5.745617639486528e-106	8.876117410360763e-102
IFI44L	14.881247	4.7625427	4.362963103273807e-50	6.740123550092541e-47
XAF1	14.72909	2.9032023	4.193185707369716e-49	5.6329069043740055e-46
IFITM2	14.113048	1.4528879	3.1563700729948154e-45	3.482941648047172e-42
ISG20	12.411978	1.1620603	2.2502371281203688e-35	1.7381394136883758e-32
B2M	12.366542	0.32231072	3.965285401964633e-35	2.988181050353689e-32
LY6E	12.0706625	1.2024351	1.5091476121296343e-33	1.0597303129993026e-30
TXNIP	11.977409	0.83513796	4.666807417160577e-33	3.204229972622452e-30
MX1	11.818247	2.5620866	3.141739933650679e-32	2.1102247550001094e-29
PTPRCAP	11.652078	1.0824378	2.2393143958858313e-31	1.4720871678656284e-28
IRF7	10.731722	2.2666967	7.223714188404865e-27	3.848122366881812e-24
CCND3	9.506645	1.3163382	1.9691129825552613e-21	8.947012326766164e-19
TRIM22	9.213146	1.543707	3.1670437964364344e-20	1.340440440801322e-17
ISG15	8.125194	2.5082438	4.466503414907743e-16	1.703722913708698e-13
EIF2AK2	7.5077233	2.0408049	6.016457298835458e-14	2.00297958471434e-11
STAT1	7.507451	2.4145515	6.028970494819356e-14	2.00297958471434e-11
SP100	7.228032	0.6187233	4.90043536610295e-13	1.5771744948591962e-10
MYL12A	7.054993	0.5477592	1.7260892795058818e-12	5.416030124496277e-10
EPSTI1	7.0290103	2.56076	2.0800347375516163e-12	6.426683328613228e-10
PSMB9	6.89447	0.876295	5.4065910552781746e-12	1.6377200375973505e-09
SMCHD1	6.818154	0.68321633	9.221795774118335e-12	2.76627013624208e-09
COX5A	6.7856407	1.1025599	1.155722539167767e-11	3.433496085833317e-09
ZFP36L2	6.591993	0.694878	4.339614438828946e-11	1.2530940870700742e-08
S100A8	6.395896	1.752314	1.596084794514223e-10	4.5242414583583435e-08
PSME2	6.325293	0.93019766	2.527522913850299e-10	6.972578166895777e-08
CYBA	6.265777	0.22280459	3.7097058644595915e-10	1.0143255052584778e-07
TSC22D3	6.235033	0.4317284	4.5168324719817785e-10	1.2241804639194826e-07
BTG1	6.209458	0.32530838	5.31676603877082e-10	1.4161389681026037e-07
RCSD1	6.1960583	0.49257284	5.7894658226255e-10	1.5159078434038989e-07
RAC2	6.0957994	0.39739406	1.0889188208689232e-09	2.8272541855787495e-07
OAS1	6.0539002	1.9865379	1.413802613946181e-09	3.6401882802579293e-07
PLSCR1	5.9878545	2.6449387	2.1262728381185254e-09	5.341093648727485e-07
S100A9	5.9172516	1.7221954	3.2736611931328516e-09	8.156960474534332e-07
GNG5	5.86651	0.81342125	4.450640922241284e-09	1.082767343106212e-06
CLIC1	5.7879486	0.4609096	7.125119350962555e-09	1.680494752570153e-06
PPM1K	5.7848196	0.93714714	7.259010807061597e-09	1.6991034614074408e-06
NME2	5.759993	0.5659784	8.411737021142928e-09	1.939533124942187e-06
UBE2L6	5.736663	1.1588483	9.656021208305587e-09	2.209941387207539e-06
SHISA5	5.648375	0.9274647	1.6197147391385374e-08	3.574594735368814e-06
