	scores	logfoldchanges	pvals	pvals_adj
IFITM1	51.80121	2.864058	0.0	0.0
IFI44L	33.506653	4.179863	3.8557305385717607e-246	2.853883220299531e-243
XAF1	33.02662	2.5302293	3.3704643964752616e-239	2.3283917042939213e-236
ISG20	30.677309	1.1715317	1.1428003675281321e-206	6.70306321232963e-204
PTPRCAP	29.558691	0.976065	5.07789923569802e-192	2.818868813216863e-189
IFITM2	28.415678	1.0858799	1.2946254373354842e-177	7.060705433411964e-175
LY6E	27.351515	1.1747975	1.0360002324671495e-164	5.194538584952625e-162
TXNIP	27.24375	0.6266111	1.9708049682107115e-163	9.724827626470854e-161
MX1	25.79388	2.3653326	1.0385685145407948e-146	5.0446842830515145e-144
BTG1	25.524174	0.4567821	1.062884328062116e-143	5.006346228252576e-141
IRF7	25.336016	2.1211562	1.2815482502959788e-141	5.858748596610454e-139
B2M	24.158394	0.22279738	6.094267069724606e-129	2.4604218233315434e-126
CCND3	22.668787	1.1578315	9.106907514166346e-114	3.4525174864986486e-111
STAG3	22.428398	2.4412801	2.0799128977167693e-111	7.790150873653157e-109
SESN1	21.708727	2.4588625	1.6969128998572838e-104	6.063440381363607e-102
TRIM22	19.967693	1.2620333	1.0519930093370369e-88	3.479075178857496e-86
MALAT1	19.296513	0.19044752	5.7459303585932e-83	1.8226911944651715e-80
SP100	19.044434	0.62224543	7.307212070944824e-81	2.2491019965293243e-78
LAPTM5	18.987368	0.25969884	2.1693662082405256e-80	6.611675227016983e-78
S100A8	18.975529	2.0042477	2.7176180368450893e-80	8.202193389456629e-78
MYL12A	18.848911	0.5603611	2.9994761490817966e-79	8.880449052048173e-77
ISG15	18.036688	2.404762	1.0038132241529154e-72	2.8894020091890445e-70
EIF2AK2	17.71476	1.76748	3.225986771025175e-70	8.954129531326752e-68
S100A9	16.8695	1.8102037	7.543416861336586e-64	1.9873067793929697e-61
TSC22D3	16.565014	0.33882663	1.2475278681361083e-61	3.2318249030622667e-59
RPL28	15.501629	0.1228944	3.382058450056708e-54	8.344289764834355e-52
CYBA	15.08552	0.17811428	2.0167994745090013e-51	4.822788097235487e-49
ATF7IP	15.010435	0.9914461	6.273471456078863e-51	1.4663414071813806e-48
STAT1	14.850279	1.8760033	6.927968537187845e-50	1.6072369993698397e-47
CNBP	14.648825	0.45149812	1.3706630256189848e-48	3.1102044874027287e-46
BST2	14.182715	0.9547319	1.1722139280389937e-45	2.5844407362374606e-43
SMCHD1	13.787281	0.49865547	3.040019705368778e-43	6.608747732923022e-41
PSME2	13.348602	0.79164547	1.2069210798137183e-40	2.518090980414031e-38
RCSD1	13.302075	0.3985748	2.2513005807265466e-40	4.6348464339765664e-38
IGKV3-20	13.288767	1.1498191	2.6897373639723554e-40	5.501043778540041e-38
SHISA5	13.19983	0.8352399	8.793344414625095e-40	1.7866581556696098e-37
HNRNPA2B1	13.049444	0.1727041	6.401256925007617e-39	1.2756145771007165e-36
GABARAP	12.925642	0.31462833	3.2259119930010035e-38	6.307165165183785e-36
TCL1A	12.854516	0.5690192	8.113201007291382e-38	1.566553290147001e-35
UBE2L6	12.614773	1.0567473	1.750611145182439e-36	3.2783884741136436e-34
COX6A1	12.492816	0.414588	8.170960815983723e-36	1.5050081635779366e-33
SP110	12.492711	0.5222105	8.181760209884237e-36	1.5050081635779366e-33
IRF8	12.416971	0.59010434	2.1141507772239297e-35	3.866035600680018e-33
OAS1	12.30544	1.931022	8.467414904037129e-35	1.521540619201169e-32
RPS10	12.246195	0.846216	1.7606561555926908e-34	3.145604477523562e-32
IFI6	12.216175	1.9898502	2.54793890239607e-34	4.4750156304399226e-32
CALR	12.192419	0.5810886	3.4114348589888216e-34	5.957936823673342e-32
EPSTI1	12.17268	1.8413403	4.345777650745468e-34	7.547329040710858e-32
HLA-DQB1	12.107007	0.24681482	9.696798136886238e-34	1.6562877125350686e-31
PLSCR1	11.882236	1.9192892	1.4639904148705714e-32	2.4468317218860995e-30
UVRAG	11.877835	0.60512483	1.543119047276156e-32	2.5652910065600996e-30
HLA-E	11.815142	0.14268124	3.259989387821732e-32	5.3620788412282635e-30
FKBP5	11.663869	3.0630949	1.9497610289529365e-31	3.1405295910393746e-29
RAC2	11.56881	0.2097799	5.929888818567968e-31	9.453459164247304e-29
TMSB4X	11.409155	0.09563501	3.7636696531792536e-30	5.909151439817346e-28
PSMB9	11.254286	0.490052	2.206053750915042e-29	3.395029354192867e-27
CLIC1	10.9220705	0.301482	9.04105378623178e-28	1.3512463415989776e-25
IFIT3	10.550498	3.7277236	5.0528558952392564e-26	7.272135704412165e-24
NME2	10.392978	0.33284193	2.668885057770305e-25	3.805854577564471e-23
ADAR	10.297792	0.8809749	7.209684359809813e-25	1.0187611713336712e-22
DDX17	10.292431	0.46032372	7.622700335166195e-25	1.072248349861138e-22
PSMA6	10.159977	0.95310384	2.991467193210838e-24	4.114855780325014e-22
TP53INP1	10.014514	1.5552182	1.3160714751284245e-23	1.794417278391111e-21
RAN	9.987785	0.45600316	1.7239031098467592e-23	2.3300424337307045e-21
HSP90AB1	9.976593	0.14544843	1.9297919925325876e-23	2.5858380893043342e-21
SRSF10	9.372286	0.37861696	7.097860054454317e-21	9.193798979700891e-19
TMEM123	9.200959	0.605854	3.547695610573061e-20	4.5385684545631586e-18
SARAF	9.191135	0.123638846	3.887153734200094e-20	4.9524568907818986e-18
ZNF318	9.126817	1.0805031	7.054298794453546e-20	8.914511651348676e-18
ANAPC16	9.007474	0.2442822	2.1085767701632921e-19	2.6538188685856785e-17
ATP5F1D	8.884312	0.3374019	6.431795693875796e-19	8.029929025522765e-17
IGLV3-25	8.83993	1.6022897	9.577926104468529e-19	1.1815436063873536e-16
PSMA7	8.818003	0.45287156	1.1651978216079613e-18	1.4317195525820826e-16
ATP6V0E1	8.758603	0.49019116	1.97685463961361e-18	2.4099796149673843e-16
COX5A	8.668646	0.64508486	4.372898098204084e-18	5.228472429956552e-16
ZBTB16	8.607325	2.0885606	7.478570197811498e-18	8.806299687097199e-16
SF3B2	8.559769	0.34048128	1.1309420436795206e-17	1.3167638693582492e-15
GNG5	8.504683	0.5729217	1.8209285896940572e-17	2.1043571400676265e-15
SMAP2	8.434221	0.5662994	3.334166601962959e-17	3.8388606353786115e-15
HNRNPA1	8.404417	0.035065133	4.299904720472291e-17	4.914380075195666e-15
PPIB	8.345448	0.33395562	7.09447996835813e-17	8.049127692567489e-15
U2AF1	8.299808	1.6603771	1.0428008009595454e-16	1.174548858674978e-14
SRP9	8.293717	0.58656704	1.0976321930578683e-16	1.2318444760140776e-14
RNASEK	8.268626	0.35303855	1.355114313359433e-16	1.5045156664073107e-14
COX5B	8.243856	0.3440986	1.667471016300221e-16	1.844721405114768e-14
PTGES3	8.236057	0.39548934	1.7797874450737216e-16	1.9619947625888928e-14
SAMD9L	8.199638	1.2213346	2.4111157946257066e-16	2.629977428334363e-14
IFI27	8.176676	5.4200144	2.917807246959551e-16	3.171534051966139e-14
ARPC1B	8.139095	0.36355877	3.982425128483897e-16	4.3136463403895085e-14
TNFAIP8	8.130304	0.48611298	4.282146643132511e-16	4.622190718578485e-14
MRPS18B	8.1296215	1.0031114	4.306338412959293e-16	4.6322194547981156e-14
CLEC2D	8.102512	0.5563949	5.383564290436924e-16	5.770995279200437e-14
ATP6V1G1	8.035768	0.12364346	9.299470528635716e-16	9.93445499394153e-14
NCL	8.023583	0.15926838	1.0270384728617435e-15	1.089677303954028e-13
STX7	8.01826	0.4947017	1.0725385582549875e-15	1.1340818421929523e-13
PRRC2C	7.923164	0.30747965	2.315417302130022e-15	2.415415358097852e-13
MIF	7.915377	0.14107126	2.465045946682849e-15	2.5629057974759105e-13
SUB1	7.83533	0.40352094	4.6761290541008665e-15	4.797584947354246e-13
LAP3	7.8052764	1.3611953	5.937128500147695e-15	6.025686109451353e-13
RALGPS2	7.804989	0.16875254	5.950672742952249e-15	6.025686109451353e-13
CD53	7.7973104	0.2642332	6.324060387501787e-15	6.38298913202169e-13
OFD1	7.786217	0.6049588	6.904527430356815e-15	6.946312110922405e-13
UTRN	7.7174916	0.6064942	1.1864119143143684e-14	1.1783382485715902e-12
POMP	7.68077	0.611579	1.5813534185747863e-14	1.5655902459628785e-12
SNHG7	7.643708	0.40955797	2.1105364357582226e-14	2.082864958044948e-12
SERP1	7.6354856	0.16563432	2.2497103634611998e-14	2.2062065005967924e-12
RPL14	7.58615	0.025409974	3.29550647463532e-14	3.2014815555308817e-12
TRMT112	7.566445	0.41899532	3.835765210339881e-14	3.714717541864046e-12
IFITM3	7.532226	1.7700156	4.98825196194331e-14	4.800922252041229e-12
CD24	7.5044312	0.58368117	6.169590357826107e-14	5.901355552422776e-12
P2RX5	7.492779	0.55564964	6.743054184347229e-14	6.430102007018475e-12
HNRNPDL	7.4610257	0.059253633	8.585158799565055e-14	8.161676807403024e-12
GAPDH	7.4478526	0.17623729	9.487160375318229e-14	8.991687639863347e-12
SUMO2	7.4403286	0.13952771	1.0043518669542391e-13	9.49005668328463e-12
PARP9	7.4120393	1.6090323	1.2437184537189444e-13	1.1680808329534991e-11
PPM1K	7.369434	0.4933835	1.7135393455901855e-13	1.6044818565169305e-11
CSNK2B	7.2847424	0.50195104	3.2228521701380126e-13	2.999664832726958e-11
CHCHD10	7.173974	0.38050827	7.285130981775754e-13	6.680615540721618e-11
ZFP36L2	7.024828	0.1742901	2.143303345948921e-12	1.9368857882416895e-10
IFI44	7.0242004	2.8585868	2.1529533817558385e-12	1.938945598729582e-10
UBE2D2	6.985878	0.17068407	2.8307990292891535e-12	2.521520040788307e-10
XIST	6.974825	1.5992715	3.062517648799904e-12	2.7123785227419544e-10
GLO1	6.9643683	0.69764954	3.298804454040363e-12	2.9133503995100214e-10
PKN2	6.826312	0.9182211	8.712530701043516e-12	7.523512275092772e-10
LBH	6.8015084	0.32124254	1.0352936532165586e-11	8.890655745177668e-10
UBXN4	6.7304378	0.40926686	1.691534228257544e-11	1.4406773850367747e-09
