	scores	logfoldchanges	pvals	pvals_adj
IFITM1	51.47157	2.8491495	0.0	0.0
IFI44L	33.082123	4.2285843	5.37237822472917e-240	4.04854560998676e-237
XAF1	31.803421	2.4523802	5.805141986205995e-222	3.7366973322459715e-219
ISG20	30.88031	1.1855502	2.1958470163584347e-209	1.356901705288531e-206
PTPRCAP	29.413836	0.9794699	3.654238602004727e-190	2.0161608943953583e-187
IFITM2	28.458334	1.0874939	3.8431555028584977e-178	2.0831925538915616e-175
TXNIP	28.185188	0.64478344	8.883134819837834e-175	4.7321071815263716e-172
LY6E	26.34525	1.1342653	5.817854855930727e-153	2.853242245772883e-150
BTG1	25.40568	0.45793024	2.1825995079371205e-142	1.037473492257434e-139
MX1	25.122986	2.340756	2.789727987591366e-139	1.2864809795912005e-136
IRF7	24.297974	2.0603158	2.059407709614609e-130	8.716372603282545e-128
B2M	23.269777	0.21237308	8.972592726903685e-120	3.509192373204344e-117
CCND3	22.132067	1.1370218	1.5529303970098727e-108	5.780830177881209e-106
STAG3	21.982826	2.4183562	4.2045724631775047e-107	1.54653184993804e-104
SESN1	21.41847	2.4390287	8.989087538885833e-102	3.1560890646472226e-99
TRIM22	19.090141	1.2289368	3.04946308888337e-81	9.81450636012807e-79
LAPTM5	18.986233	0.25508186	2.2167483132606017e-80	7.060914704619877e-78
S100A8	18.9252	2.0026956	7.072148633014034e-80	2.229675268512598e-77
SP100	18.262934	0.58556277	1.6327772841924694e-74	4.945874485264189e-72
MALAT1	18.238384	0.1778411	2.5591152593024065e-74	7.602786939102544e-72
MYL12A	18.192629	0.5333694	5.90383107097867e-74	1.7372444628574091e-71
ISG15	17.540316	2.3628056	7.053359325685711e-69	1.9811603916882856e-66
EIF2AK2	16.692	1.7008647	1.498661105695829e-62	4.0977108126269056e-60
S100A9	16.535654	1.7901082	2.0316039058792178e-61	5.411247058616395e-59
TSC22D3	16.11933	0.32188043	1.8662422427489185e-58	4.726334965099454e-56
RPL28	15.185479	0.11288798	4.413244703583171e-52	1.0408856611191544e-49
CNBP	14.800863	0.45495206	1.4461397892100425e-49	3.359502335881405e-47
CYBA	14.290894	0.14646554	2.4938959665200743e-46	5.583616208519618e-44
ATF7IP	14.204183	0.96226823	8.630317047494937e-46	1.918351840406123e-43
STAT1	14.081794	1.8025192	4.914625506560293e-45	1.0846227448299528e-42
BST2	14.015941	0.9461603	1.2453741843304618e-44	2.709741279806921e-42
RCSD1	13.4375925	0.4001308	3.6408930529000465e-41	7.600856260503562e-39
PSME2	13.149254	0.78481936	1.7186149541882144e-39	3.540003082636884e-37
SMCHD1	12.918718	0.45231205	3.529728161852782e-38	7.133115397164956e-36
UBE2L6	12.863372	1.0956103	7.235033977516309e-38	1.4238270369638306e-35
GABARAP	12.815577	0.2995369	1.3413692449330354e-37	2.6065588402953453e-35
IGKV3-20	12.797241	1.0883819	1.6987975565957141e-37	3.280484256633611e-35
HNRNPA2B1	12.500461	0.14760576	7.422006266686844e-36	1.3814320941073702e-33
SHISA5	12.393988	0.79424685	2.8168097069343245e-35	5.1804148520922516e-33
CALR	12.351263	0.5888743	4.7952826712297145e-35	8.766854952247603e-33
SP110	12.051538	0.5051795	1.9036306484997372e-33	3.419562566668394e-31
TCL1A	12.04612	0.5257523	2.0329589733882265e-33	3.6307707168078632e-31
IRF8	12.040859	0.57577246	2.1668771797989782e-33	3.8477013921982197e-31
HLA-E	11.819705	0.13755354	3.087665942194024e-32	5.2130936948616814e-30
OAS1	11.743144	1.8635664	7.658512714935987e-32	1.279054418126363e-29
RAC2	11.687934	0.21925615	1.4691755003991772e-31	2.427439328119432e-29
HLA-DQB1	11.6727915	0.22616585	1.75567040863031e-31	2.885369607204824e-29
IFI6	11.649536	1.9401013	2.3071093366055227e-31	3.7715744536032187e-29
PLSCR1	11.633321	1.888782	2.790265330695098e-31	4.537411995920339e-29
COX6A1	11.527412	0.37074962	9.598585179326746e-31	1.5527093522809343e-28
FKBP5	11.400104	2.9978101	4.176216458731856e-30	6.651162882754544e-28
EPSTI1	11.364868	1.7790697	6.2558640521796485e-30	9.861603654091562e-28
PSMB9	11.228465	0.49477556	2.955699605674016e-29	4.566112535825503e-27
UVRAG	11.096601	0.5632847	1.3030598476661265e-28	1.9931009957099165e-26
CLIC1	10.914578	0.29808518	9.81842210086872e-28	1.4798038421977604e-25
TMSB4X	10.758446	0.07960499	5.4074729323495145e-27	7.994004363196313e-25
NME2	10.699351	0.3543423	1.0249338276878242e-26	1.5008237191502702e-24
RAN	10.6216345	0.48323354	2.3638501534206053e-26	3.412891504216656e-24
IFIT3	10.454018	3.8465712	1.4044637537652468e-25	1.9997104424002228e-23
HSP90AB1	10.406722	0.15664022	2.3104018309916566e-25	3.2745176776215237e-23
ADAR	9.815558	0.861165	9.650187879348533e-23	1.3020168336604e-20
DDX17	9.690395	0.43389496	3.3124333963671844e-22	4.4304872141799525e-20
TP53INP1	9.631675	1.4835843	5.876404662422992e-22	7.792415229823312e-20
RPS10	9.339717	0.6964006	9.65917273101844e-21	1.2592382273007459e-18
SARAF	9.26022	0.11728992	2.0401289543180878e-20	2.6264110125652482e-18
COX5A	9.199406	0.69494617	3.599364504648371e-20	4.595436574385154e-18
PSMA6	9.16237	0.88297564	5.07697943738917e-20	6.4552853365026e-18
SF3B2	8.934241	0.35440543	4.0998164352196463e-19	5.046694358525156e-17
ATP6V0E1	8.83633	0.5113329	9.891385716265983e-19	1.2079610453575893e-16
ZBTB16	8.697942	2.1234152	3.3795784532826825e-18	4.078860760588869e-16
TMEM123	8.671658	0.58478224	4.2587628084462886e-18	5.100116065603294e-16
ANAPC16	8.448214	0.21524641	2.9579462263324203e-17	3.4101367371265967e-15
SRSF10	8.403655	0.3349081	4.327944672782286e-17	4.9710225485113126e-15
IGLV3-25	8.394128	1.4741813	4.693660197656187e-17	5.3546619366773405e-15
