	scores	logfoldchanges	pvals	pvals_adj
IFITM1	11.863466	2.3280146	1.8322910575388496e-32	3.164468450317234e-29
TXNIP	11.092701	1.2406665	1.3611429905799212e-28	1.6925540859263204e-25
ISG20	10.82011	1.346134	2.7644512182288655e-27	2.8646165007026914e-24
BTG1	8.366789	0.6531404	5.920949177111323e-17	3.4086027234974014e-14
CCND3	8.004401	1.7043389	1.2004909201278956e-15	6.54730898842384e-13
TSC22D3	7.294471	0.60869265	2.9983489450155644e-13	1.4122677826318008e-10
IFI44L	7.113859	3.4576511	1.128422166997125e-12	4.94074083175206e-10
SP100	6.6255817	0.79271615	3.458828984961749e-11	1.3785207263526395e-08
IFITM2	6.4117875	0.61010027	1.4382300869474598e-10	5.519785026288356e-08
LAPTM5	6.353573	0.36264372	2.1037050797710351e-10	7.975351196931972e-08
MYL12A	6.311658	0.46770385	2.7606155233062165e-10	1.0339669249761488e-07
MX1	6.1329384	1.6313335	8.627055317995996e-10	3.118479868262111e-07
XAF1	6.0834556	1.9353195	1.1761938518180117e-09	4.1550384399393784e-07
HLA-DQB1	5.909248	0.4055588	3.436735914848611e-09	1.1246085198410399e-06
S100A8	5.8334227	2.2911117	5.430173264594173e-09	1.7051292553175661e-06
SMCHD1	5.7934003	0.71467507	6.897552956289211e-09	2.1021983210996345e-06
PTPRCAP	5.666055	0.4718392	1.4612262812623211e-08	4.24534031828054e-06
MALAT1	5.59023	0.22364537	2.2676888059947208e-08	6.46749008366586e-06
IGKV3-20	5.4088907	1.6261487	6.341629914349686e-08	1.7446216738706964e-05
CYBA	5.398412	0.19379786	6.723330630309112e-08	1.8334050816177134e-05
HSP90AB1	5.129314	0.33399385	2.9080032468967746e-07	7.174690233038097e-05
IRF7	5.0470853	1.3833855	4.4860128711912337e-07	0.00010727437086670915
LY6E	4.7583394	0.48102427	1.9519212346389145e-06	0.00043035018029233995
HNRNPA2B1	4.6522427	0.19842272	3.28344233117325e-06	0.0007039473913736747
UVRAG	4.562883	0.7646347	5.045596130760641e-06	0.0010456829794463737
CNBP	4.408613	0.38801315	1.0403452396718225e-05	0.0020907395685288324
EPSTI1	4.276029	2.1246915	1.9025642236292324e-05	0.003696563376247622
S100A9	4.2437196	1.5812494	2.1984485985377512e-05	0.004218714295231054
PSMB9	4.242119	0.39562893	2.21419364201089e-05	0.004222861211606904
RHOA	4.216941	0.22428669	2.4763881890539788e-05	0.004637559014043436
PTGES3	4.2085	0.5613166	2.570717981620979e-05	0.004785383826027029
MS4A1	4.1339846	0.22408089	3.565272080331585e-05	0.0065196243036039995
RPL28	4.037639	0.09146711	5.3991838059280174e-05	0.009536615169027516
TRIM22	3.9952877	1.2422153	6.461572722326371e-05	0.011340472910852162
LIMD2	3.9941235	0.15768181	6.493402959860022e-05	0.011340472910852162
SARAF	3.9028716	0.31112048	9.505813496180693e-05	0.015878742600252644
PRRC2C	3.9017074	0.49708027	9.551661035954722e-05	0.015878742600252644
HLA-E	3.865323	0.10641249	0.00011094228036787677	0.018151908788400974
CALR	3.8292298	0.4910316	0.00012854494761561198	0.020705061070085642
ISG15	3.8188965	1.4717065	0.0001340499175616724	0.021370306601229284
HSH2D	3.759372	0.88779247	0.00017034046428259753	0.026609919664085976
ZFP36L2	3.7568977	0.49491736	0.0001720327302811921	0.026622344781475262
COX5B	3.654294	0.3485914	0.00025789059092329623	0.03891769320404131
NEAT1	3.616891	0.866979	0.0002981628226629161	0.044777718203488276
S100A11	3.5886567	1.1901443	0.0003323861260641055	0.049204226195023085
VIM	3.5773048	0.19550584	0.00034715522659953447	0.050723165177062504
COX6A1	3.5515447	0.24930428	0.00038297685157667304	0.05511852493038905
UBE2D3	3.549944	0.40547723	0.0003853133291041941	0.0551992417597331
KLF6	3.5262213	0.2673955	0.0004215346037692462	0.05928818895433723
XIST	3.437007	2.039282	0.0005881804772702285	0.0784753926905562
TMSB4X	3.4322042	0.1642326	0.0005986965058212371	0.07953708665155897
ATP5F1D	3.3402247	0.28565228	0.0008371062558818662	0.1079797600688779
STAT1	3.2645454	1.4743958	0.0010963990565523015	0.13743450593161854
CLIC1	3.2542121	0.12957595	0.0011370730190689072	0.14139275577518048
AUP1	3.2226307	0.5362185	0.0012701922770108475	0.15607299334164512
B2M	3.2144806	0.08543717	0.001306807644232504	0.15993987888289707
MYC	3.1862464	0.9284356	0.0014413181788974457	0.17443114674552448
RPL14	3.1840632	0.06747206	0.0014522326217494294	0.1749827733035834
SF3B1	3.1799881	0.503936	0.001472810309405218	0.1760971311095385
RAC2	3.167763	0.058547925	0.0015361663596878306	0.1819411027499075
GABARAP	3.1211913	0.07407913	0.0018012104513206756	0.2081569862461184
CXCR4	3.016259	0.57645017	0.0025591467652328137	0.28311813341919034
IFI6	3.012766	1.461341	0.0025887847225963957	0.2853813853594119
RNASEK	2.9362135	0.29911488	0.003322456796978701	0.3489365352962057
JCHAIN	2.9276266	0.83475155	0.003415598656527738	0.3575108263820801
RNF213	2.8814914	0.7790527	0.003957980352189451	0.40341552527381463
PRDX1	2.86621	0.56148106	0.004154185850173094	0.41928953092315246
CD86	2.8430696	1.5822103	0.0044681315541375746	0.4397602750233084
SMAP2	2.842924	0.8656901	0.004470172319856064	0.4397602750233084
SCIMP	2.8400133	0.8622569	0.004511165396330477	0.44239305575938653
NPM1	2.8285158	0.024414157	0.004676438496481649	0.4557255283389499
EIF2AK2	2.8058121	1.0037497	0.005018995856999123	0.48156025989670287
EIF5A	2.797662	0.26883754	0.0051473952970494605	0.49236023876731255
OAZ1	2.7948968	0.05975816	0.00519162924416974	0.4950680316365174
TMSB10	2.7915494	0.089301676	0.0052456349829844645	0.4986882407218289
SUB1	2.7854369	0.3431138	0.005345565362279911	0.5050990590188316
PSMB1	2.7829628	0.4103001	0.005386499787061269	0.507424602667799
SH3BGRL3	2.761132	0.069577634	0.005760136920314375	0.5361238815623143
RAN	2.7537098	0.3140798	0.005892400430930762	0.5450039510336475
PSME2	2.7400293	0.43555638	0.0061433721789315564	0.5596557610100348
MRPL20	2.729405	1.14897	0.006344872618684713	0.568423789905048
ATP6V0E1	2.7219827	0.32162347	0.006489155745581878	0.5780182941630483
SERP1	2.7024806	0.19984941	0.006882419634438063	0.6046538504393615
IGLV3-25	2.7023351	1.4858193	0.006885433237544117	0.6046538504393615
ARPC1B	2.6975324	0.20171869	0.006985549592977744	0.6117176906954905
PSMB8	2.687199	0.40634286	0.00720539649888985	0.6274346245405847
CFLAR	2.6841428	0.8231449	0.007271601155670524	0.631430908174105
DDX17	2.6791947	0.355756	0.007379947563181711	0.639054122274735
SRSF11	2.6628945	0.4100792	0.007747169980495604	0.6652935723305714
U2AF1	2.6284022	2.2300277	0.008578702534449065	0.7227266278818919
FCHSD2	2.621271	0.96167034	0.008760263213372903	0.7340439420865861
GAPDH	2.6086092	0.06276584	0.009091102281697893	0.7556553385859422
BST2	2.6020598	0.5839203	0.009266565482114048	0.7620159842706236
GSTK1	2.5971117	0.41660655	0.009401135375489462	0.7650604592090076
RCSD1	2.585323	0.23798436	0.00972877650578965	0.7855544811311242
SNX2	2.5837224	0.15567529	0.009774047094960313	0.787165290261739
COX5A	2.555197	0.43926492	0.010612772827362667	0.8503073940315032
LBH	2.5461736	0.31098863	0.010891099585692565	0.8673572682041013
MRPL34	2.5311832	0.7753421	0.01136784196284567	0.8946635521493249
HNRNPDL	2.4899962	0.11068052	0.01277444319984327	0.9805410265519204
MYL12B	2.4787898	0.20019141	0.013182892769919278	1.0
CIB1	2.4751515	0.31588554	0.01331796737227226	1.0
IFITM3	2.4707854	1.7744064	0.013481670653510908	1.0
HNRNPA1	2.4632175	0.053012293	0.013769638377284428	1.0
FKBP5	2.452011	2.5072937	0.014206029274654936	1.0
INTS11	2.4472084	0.8967362	0.014396759314076121	1.0
YWHAH	2.4218848	1.1511917	0.01544024172234742	1.0
PPM1K	2.4173732	0.5072207	0.01563297928590829	1.0
ARPC5	2.4150445	0.44126084	0.015733282482731297	1.0
