	scores	logfoldchanges	pvals	pvals_adj
IFITM1	12.937613	2.3036745	2.7607565537177044e-38	6.09279251715828e-35
ISG20	10.775831	1.2446086	4.4771900590280396e-27	3.9523354643939814e-24
TXNIP	10.450406	1.130189	1.4589942769299062e-25	1.1862775309027187e-22
CCND3	8.334583	1.6048855	7.77717690095748e-17	4.215639205419005e-14
MX1	7.5261602	1.819676	5.2254171269538945e-14	2.30642447102135e-11
IFI44L	7.328576	3.4523127	2.326107466929066e-13	9.712127352122614e-11
BTG1	7.3026857	0.49344674	2.820793162277168e-13	1.1620539511317021e-10
IFITM2	7.2717166	0.6319785	3.549478563898738e-13	1.4430031472207803e-10
TSC22D3	7.2614346	0.57120353	3.830058488407251e-13	1.536848274237907e-10
SMCHD1	6.8480563	0.7831158	7.486003160141507e-12	2.8206712151084406e-09
MYL12A	6.831085	0.48468056	8.427462255097674e-12	3.1371482083825647e-09
PTPRCAP	6.8087873	0.6054448	9.842482615053695e-12	3.6202760161585003e-09
SP100	6.6751237	0.7079325	2.4702346791382067e-11	8.874748939689904e-09
LY6E	6.6473756	0.64913195	2.983654702854197e-11	1.059608958092944e-08
TMSB4X	6.4618073	0.2725298	1.0345981090681817e-10	3.551775308431068e-08
HLA-DQB1	6.278221	0.43620908	3.424683610729608e-10	1.0688126214213403e-07
LAPTM5	6.2689304	0.3409922	3.6353644326497357e-10	1.1232185487557888e-07
UVRAG	6.1506276	0.93713415	7.71768848292168e-10	2.2928213563156843e-07
CYBA	6.100705	0.23881681	1.056015215882961e-09	3.0780851061448915e-07
S100A8	5.986243	2.3186288	2.147439394366431e-09	6.087104125480699e-07
IRF7	5.6235304	1.416445	1.8709409021282385e-08	5.026648787222277e-06
IGKV3-20	5.5264106	1.4273819	3.2684903796555445e-08	8.55818197120486e-06
XAF1	5.517739	1.6930109	3.433888942840849e-08	8.915703081256614e-06
HSP90AB1	5.4331307	0.3436817	5.537376541198639e-08	1.4257360249451195e-05
HNRNPA2B1	5.393862	0.2527946	6.895926833307189e-08	1.760854969989192e-05
S100A9	5.2536325	1.746033	1.4912807412426078e-07	3.6568334176327655e-05
S100A11	5.154407	1.339292	2.544346172457274e-07	5.955504825031242e-05
SUB1	4.9834566	0.58662224	6.245833765183137e-07	0.0001340121707242107
ARPC1B	4.910617	0.41520354	9.079037343732126e-07	0.00019082654204713708
MALAT1	4.817833	0.1812712	1.451259520166192e-06	0.00029507657289156033
VIM	4.7391706	0.29449055	2.1459467364768124e-06	0.0004196412425121777
RPL28	4.7295084	0.13157843	2.2506428252007315e-06	0.00043734661239136475
UBE2D2	4.6614995	0.42952383	3.139135528962696e-06	0.0005950298799899412
MS4A1	4.6191335	0.24461603	3.853455545268035e-06	0.0007086917617984908
TMSB10	4.5013266	0.20655964	6.75306959763389e-06	0.0012201730488777445
ISG15	4.2992826	1.5170475	1.71351789276229e-05	0.002991105216535394
CFLAR	4.264597	1.0488584	2.0026325943395105e-05	0.003476142655466733
TRIM22	4.1611595	1.15365	3.1663569249597734e-05	0.0054350516616934515
RNASEK	4.148648	0.41158578	3.344445940072251e-05	0.005709024652508968
NEAT1	4.129571	0.9321205	3.634408957365827e-05	0.006136193090477156
SCIMP	4.098106	0.9914986	4.165443527123746e-05	0.006994549383562087
EPSTI1	4.022665	1.7596017	5.754334593990684e-05	0.009558692255404847
IFI6	4.0120115	1.7032614	6.020358371388987e-05	0.00994711297330511
HSH2D	3.9965267	0.86127913	6.427861298847396e-05	0.010563916518642979
RPL14	3.986369	0.107554644	6.709218583650383e-05	0.01096797495127227
PRRC2C	3.9339688	0.48815513	8.355463887342266e-05	0.013516165849592357
ATP6V0E1	3.9158828	0.4123954	9.00740327881776e-05	0.014494882245085017
AUP1	3.903495	0.5940616	9.48135136519731e-05	0.01517851363370473
HSP90AA1	3.8837986	0.3054715	0.00010283713701815562	0.016378139290979143
PTGES3	3.821736	0.4318658	0.0001325154976293798	0.020678441061893676
PLPP5	3.8006768	1.25138	0.00014430135790996425	0.02196295101154761
RAC2	3.786307	0.123487495	0.00015290266411313477	0.02304504201513915
SMAP2	3.7749104	0.92820644	0.00016006516093679385	0.02400744309448602
PSME2	3.7372518	0.5270239	0.0001860426149710579	0.027584537520617514
COX6A1	3.7365086	0.2791747	0.00018659314308214586	0.027584537520617514
GSTK1	3.7000885	0.5263254	0.00021552420836753466	0.03155948562052947
ATP5F1D	3.6479363	0.29270452	0.0002643551643675152	0.03798968145796798
RHOA	3.598633	0.14655335	0.0003198940473611869	0.04533837789595684
CIB1	3.5942974	0.432912	0.00032526806392865423	0.04588953137535904
BST2	3.5537896	0.663398	0.0003797228587996687	0.05261119806427517
SF3B1	3.5272799	0.5006045	0.0004198526972659462	0.05791155708672295
STAT1	3.5229442	1.4407585	0.0004267812374242886	0.05860559952310331
EIF5A	3.511052	0.32816905	0.00044633713685165343	0.06075100668416536
IGLV3-25	3.5025043	2.317185	0.00046090610436191394	0.06245884169504411
HNRNPA1	3.4953196	0.13879132	0.00047349448405062573	0.0638845374397912
PRDX1	3.465713	0.57482773	0.0005288276422206101	0.07103994635517474
ARL6IP5	3.4121978	0.30704433	0.0006444129985960928	0.08508730093001486
RAN	3.390891	0.37621066	0.0006966578547444258	0.0904396543615064
OAZ1	3.3607888	0.09551631	0.0007772020187187814	0.09850310867432309
ARPC5	3.360541	0.5449917	0.000777899424427447	0.09850310867432309
SNX2	3.3378716	0.22398189	0.0008442274661051132	0.1056036276123469
CLIC1	3.3156977	0.096454	0.0009141469028692191	0.11252747752171419
ZFP36L2	3.2552454	0.39852017	0.001132943806459945	0.13620453224977788
PPIB	3.217463	0.22515681	0.0012932972414406987	0.1530996355126179
HLA-E	3.1881042	0.07603177	0.0014320898814052425	0.16888275215945717
COX5A	3.1833968	0.4923886	0.0014555802703971213	0.17100024188007548
PPM1K	3.1796803	0.6168137	0.001474375598565276	0.17255220783663383
B2M	3.173115	0.06415065	0.0015081281737625773	0.17583636296129188
CALM1	3.1669211	0.11252766	0.001540621346181773	0.17894954034954227
SARAF	3.1562676	0.20308357	0.0015980216731327139	0.1849216315909418
ATP6V1G1	3.1420217	0.19768703	0.0016778557923090938	0.19139879142916147
IFIT3	3.140783	3.148496	0.0016849684846014796	0.19139879142916147
MRPL20	3.1350846	1.1422157	0.0017180455010517041	0.1944412155530934
EIF2AK2	3.1233163	1.0589731	0.001788254707783452	0.20018733951588882
PPIA	3.1048586	0.02108158	0.0019037002659523354	0.21006652541831897
ITSN2	3.1026287	0.4588384	0.0019181007335843687	0.21090234293792257
XIST	3.0925946	1.6429603	0.001984148978638882	0.21739096096810473
GNB2	3.0815697	0.6695249	0.002059122940915583	0.2240166250192562
GPSM3	3.0728981	0.15753809	0.0021199075682946976	0.22982029521965358
SAP18	3.070049	0.3347111	0.0021402360182602234	0.23121284005659484
JCHAIN	3.011579	0.75599754	0.00259892743737883	0.26766353677564575
CD86	2.9636385	1.5722431	0.0030402516972299954	0.30697600225266397
PSMB9	2.9607894	0.20764378	0.0030685171589178717	0.3088207643618419
UBE2D3	2.95794	0.30983898	0.0030970220710672203	0.30929398512232686
CALR	2.9573207	0.3809767	0.0031032506517759432	0.30929398512232686
SH3BGRL3	2.9519942	0.1062406	0.0031572897855017892	0.3132905058837006
EVL	2.9436944	0.40540662	0.003243201613958924	0.3201444097970891
CNBP	2.907646	0.21597017	0.003641602624932402	0.35493563502377423
LIMD2	2.8998418	0.049514085	0.0037335106895220274	0.36274930746591844
SCPEP1	2.8962493	1.1499635	0.0037765220948605513	0.36577806634766913
COX5B	2.8827467	0.22076151	0.003942242791103238	0.3794500794913294
KLF6	2.8732083	0.18061008	0.004063262748971634	0.3867644680135637
RNF213	2.8676338	0.76291996	0.004135540273830074	0.39075164477225627
