	scores	logfoldchanges	pvals	pvals_adj
ISG20	19.880861	1.6212503	5.960259246195772e-88	7.720274132770332e-85
IFITM1	16.531101	1.8615695	2.191025480171257e-61	1.8408759216779425e-58
PTPRCAP	15.660043	1.0520674	2.8370715077879604e-55	2.05107074331638e-52
MYL12A	12.512776	0.58099526	6.356303897703315e-36	2.9492301383269098e-33
BTG1	11.127142	0.61692554	9.255545948099662e-29	3.642115909981951e-26
IFITM2	10.735377	0.8055239	6.943443298790946e-27	2.5696526408275493e-24
CCND3	10.574352	1.3355333	3.918770199300621e-26	1.4332095198312754e-23
XAF1	10.560282	1.9677416	4.5529128368957285e-26	1.6457721088439245e-23
MX1	10.448925	2.095272	1.481951609701328e-25	5.295336746067262e-23
ARPC1B	10.164347	0.78971606	2.860344253652994e-24	9.990957507113553e-22
LY6E	10.035738	0.8658415	1.061627573677937e-23	3.626683119002861e-21
TMSB4X	9.780677	0.2517477	1.362954044652365e-22	4.6054513463160945e-20
TSC22D3	9.563266	0.4910341	1.1409795968126736e-21	3.7733651836293174e-19
B2M	9.562135	0.14889374	1.1535230620292435e-21	3.774691729400326e-19
SP100	9.45958	0.6537863	3.0918156317857008e-21	1.0012007556804384e-18
SMCHD1	9.3350725	0.6664446	1.0092202415436625e-20	3.2343948091616325e-18
RAC2	9.210565	0.3875726	3.2441297069846404e-20	1.0085026020103152e-17
IRF7	9.061205	1.6497998	1.2901704887897325e-19	3.8939349500006225e-17
TXNIP	8.859667	0.4063225	8.025398202850533e-19	2.310051425296431e-16
IGKV3-20	8.734523	1.4107217	2.4468707104616313e-18	6.978520162946855e-16
S100A8	8.624049	2.0881264	6.462714279275655e-18	1.8264218072712937e-15
RAN	8.610934	0.60001606	7.246760368849071e-18	2.0295499061838834e-15
RNASEK	8.498375	0.69163364	1.9226274058650697e-17	5.289267094347559e-15
IFI44L	8.437394	3.7030644	3.24491062366405e-17	8.771698831116898e-15
GABARAP	8.0111265	0.34769428	1.1366234875008822e-15	2.994424945418638e-13
PPIB	7.9631195	0.46159503	1.6775545024240917e-15	4.345844734738145e-13
S100A11	7.676066	1.4816315	1.640488006088384e-14	4.146166719127609e-12
ISG15	7.5150046	2.034577	5.690884737994594e-14	1.4153002708003036e-11
HLA-DQB1	7.410895	0.3583898	1.2545000823660484e-13	3.0467690672276054e-11
PSME2	7.396118	0.7203117	1.4022343908746344e-13	3.379167481327113e-11
SUB1	7.324213	0.57462	2.403044177234502e-13	5.702552239518241e-11
HNRNPA2B1	7.2574344	0.22210427	3.945013351484416e-13	9.220949628390681e-11
CNBP	7.243612	0.35022357	4.368903021817253e-13	1.0135528973077085e-10
BANK1	7.2387686	0.33172902	4.5277609537345937e-13	1.0426259612499801e-10
PSMB9	7.0902224	0.38208252	1.3389689940204217e-12	2.994570440080061e-10
GAPDH	6.972113	0.22047828	3.1221550578028328e-12	6.883576899426714e-10
RCSD1	6.9642296	0.57317597	3.302055191590197e-12	7.22894293950454e-10
CYBA	6.7099113	0.15862615	1.9474240067116482e-11	4.1183381018125855e-09
S100A9	6.5134993	1.6351326	7.342005662372917e-11	1.5421684461228845e-08
CLIC1	6.488364	0.2559782	8.677330835586862e-11	1.8104173401737503e-08
ATP6V0E1	6.473128	0.49737135	9.599471994433891e-11	1.9894585726064424e-08
EIF5A	6.3344793	0.41830832	2.381438474468477e-10	4.776243732632358e-08
CALM1	6.2917747	0.2181972	3.1385624396376103e-10	6.254390420577845e-08
NDUFA13	6.25607	0.61054325	3.947994973475046e-10	7.817281512128584e-08
IGLV3-25	6.1821504	2.0427294	6.323430799400301e-10	1.220972007832032e-07
HLA-E	6.0257554	0.14298752	1.6832143760962569e-09	3.1521738138376105e-07
UBE2L6	5.909202	0.9850103	3.437691391700378e-09	6.286324252575862e-07
COX6A1	5.900364	0.30595738	3.627003658897775e-09	6.593722967494452e-07
RNASET2	5.8502	0.30963212	4.90981123869729e-09	8.873912905661782e-07
EZR	5.8164396	0.2252714	6.011418351787372e-09	1.0794676038681727e-06
CFLAR	5.7150874	0.9908378	1.0964774202403253e-08	1.9257736476277396e-06
JPT1	5.697942	0.9997075	1.2126241164282225e-08	2.1178003318766375e-06
MALAT1	5.690836	0.17331511	1.2641874380972845e-08	2.195519267493312e-06
HSP90AA1	5.557809	0.27394834	2.731823981947576e-08	4.65666792279575e-06
UVRAG	5.556006	0.4552294	2.760175845769919e-08	4.663347093339645e-06
COX5A	5.53073	0.5696703	3.189015673346429e-08	5.358752985801105e-06
EIF2AK2	5.4145293	1.2724525	6.145007434352627e-08	1.0215499792070595e-05
PTGES3	5.406222	0.3502535	6.436803998394753e-08	1.0643666271175409e-05
MIF	5.3812284	0.12077246	7.397923460264502e-08	1.2168214106309131e-05
TPI1	5.380168	0.37249473	7.441639491277387e-08	1.2175697203438955e-05
SRSF10	5.3519926	0.437824	8.699084546309236e-08	1.4158557135660483e-05
IGKV4-1	5.3005567	1.1944427	1.1545021918232964e-07	1.831122940674021e-05
SARAF	5.2881484	0.2649207	1.2356087506736204e-07	1.949815697065525e-05
MYL6	5.272134	0.14592579	1.348465807725108e-07	2.0959878282375217e-05
PPIA	5.2642155	0.10101448	1.4078941722717673e-07	2.1666933729412097e-05
ADAR	5.256544	0.8610334	1.4678767055187733e-07	2.2478760169685764e-05
PSMA6	5.229748	0.8651119	1.697416030469238e-07	2.5740279092291318e-05
STAG3	5.2263184	1.6425841	1.72918361811297e-07	2.6038228447542022e-05
UBE2D2	5.2098093	0.29159826	1.8903470281134565e-07	2.8252508684116835e-05
SYNGR2	5.182412	0.20234197	2.1903463283607723e-07	3.257956761232121e-05
CD53	5.1801143	0.26425466	2.2175006608195863e-07	3.2826401448999274e-05
PTPRC	5.1566057	0.15771817	2.5146677788935995e-07	3.704904134713996e-05
LGALS1	5.125567	0.6768651	2.9664366728971476e-07	4.3294655798288086e-05
CALR	5.121113	0.46178702	3.037380240868356e-07	4.412291567657691e-05
EPSTI1	5.096791	1.5731368	3.4545948130588154e-07	4.995022742026018e-05
VIM	5.0721865	0.17690301	3.932709985199503e-07	5.633924207829353e-05
ATP6V1G1	5.0141745	0.20949979	5.326158766499662e-07	7.560470208866438e-05
SMAP2	4.88645	0.6326388	1.02670392959889e-06	0.00014312621102888202
PRRC2C	4.859406	0.38172358	1.177383773772568e-06	0.0001633987918538742
NME2	4.8504624	0.2759773	1.2317408157420402e-06	0.0001701827855065458
TRIM22	4.8107624	0.7516913	1.5035552005931397e-06	0.0002050044759685918
PSMB1	4.73405	0.42358947	2.2008345478196236e-06	0.0002939950822793617
IFIT3	4.7338023	3.1549509	2.2035208984813997e-06	0.0002939950822793617
ATP5F1D	4.718425	0.26824963	2.3767792330074965e-06	0.00031575613682266685
GTF3A	4.709304	0.36746272	2.485640798543439e-06	0.00032741998095050796
DDX17	4.702587	0.4313462	2.5688538437758352e-06	0.00033695341536480757
ARID4B	4.668438	0.50001615	3.034986587533038e-06	0.0003964228069186536
RHOA	4.617673	0.08826116	3.8806685904777085e-06	0.0005005740434530313
SUMO2	4.607704	0.1424467	4.0713960487242925e-06	0.000523006152754926
PSMA7	4.5957904	0.38580814	4.31111458906535e-06	0.0005515210667912532
S100A6	4.5691357	0.3023959	4.89739760515244e-06	0.0006239565547187455
SP110	4.5590253	0.2852176	5.139162041415265e-06	0.000649435489355595
IL2RG	4.5572577	0.47563905	5.182585584767438e-06	0.0006522714092051228
SELENOH	4.5362587	0.35202932	5.7260901858252206e-06	0.0007148874120752957
