	scores	logfoldchanges	pvals	pvals_adj
ISG20	20.965103	1.724391	1.3662471746389432e-97	2.0101399502294965e-94
PTPRCAP	16.713362	1.1348504	1.0476034129201605e-62	8.748054769998431e-60
IFITM1	15.622591	1.7621132	5.108690902297524e-55	3.9460805702071645e-52
MYL12A	12.441046	0.5725114	1.5644146533866127e-35	7.214286499356145e-33
BTG1	10.553774	0.5856941	4.8796991512600957e-26	1.838634935079063e-23
B2M	10.254205	0.16633923	1.1330460156725537e-24	4.023876177728148e-22
IFITM2	10.226448	0.7732448	1.5095431826678125e-24	5.300040422146296e-22
ARPC1B	10.206991	0.8010959	1.8449800714436823e-24	6.404983063752298e-22
CCND3	10.1428995	1.3045394	3.563614905169531e-24	1.2233889969447e-21
XAF1	10.1225	1.9195006	4.3905215740543416e-24	1.4907026931160108e-21
MX1	9.939189	2.0191057	2.811070249372428e-23	9.440612771180426e-21
IGKV3-20	9.896298	1.5712764	4.3196738881993496e-23	1.4351071411150034e-20
LY6E	9.711592	0.84130126	2.691010998323858e-22	8.660850709917942e-20
IRF7	9.503174	1.6938978	2.0358935386425945e-21	6.353838652872752e-19
SMCHD1	9.328579	0.6889646	1.0729969640419733e-20	3.3152387198004846e-18
RNASEK	9.308807	0.7668701	1.292752905947809e-20	3.954671934165293e-18
TSC22D3	9.26658	0.49298212	1.9220999263622834e-20	5.822266806354458e-18
TMSB4X	9.229339	0.24870944	2.723074437909522e-20	8.168430185251506e-18
RAC2	9.139967	0.35270292	6.247145593740886e-20	1.8559428597097323e-17
SP100	9.085395	0.6285198	1.0332259731611267e-19	3.040341227881841e-17
TXNIP	8.607745	0.39831093	7.451171648714887e-18	2.0740436975706656e-15
S100A8	8.537203	2.1003416	1.3750990041545322e-17	3.7934316010145164e-15
RAN	8.517502	0.5752999	1.6303242561844796e-17	4.4577104905603424e-15
SUB1	8.251582	0.6425358	1.5631098485516402e-16	4.127812392367524e-14
GABARAP	8.148611	0.37543222	3.681281744565231e-16	9.639030683206096e-14
ISG15	8.11259	2.114848	4.955196995531547e-16	1.286560685470069e-13
PPIB	8.046616	0.48845643	8.51146955425873e-16	2.1914906234827662e-13
S100A11	7.9850006	1.5069664	1.405216008645672e-15	3.588178431332672e-13
GAPDH	7.890224	0.27067828	3.0164514092902426e-15	7.577178796165904e-13
IFI44L	7.55446	3.5792668	4.2060140486551464e-14	1.0073892717930082e-11
PSMB9	7.461566	0.40721536	8.550006027561064e-14	2.0165613452943066e-11
BANK1	7.4490128	0.3478927	9.404120469552882e-14	2.2012053799073894e-11
HLA-DQB1	7.3211794	0.36127794	2.4580132249794276e-13	5.62557293423625e-11
HNRNPA2B1	7.246976	0.21402429	4.261803607303423e-13	9.541807685134338e-11
COX6A1	7.2073283	0.3973012	5.706025765997149e-13	1.2683386913094527e-10
PSME2	7.1970067	0.6868192	6.154864615614827e-13	1.3583346573475095e-10
MYL6	7.1394362	0.26249835	9.371434509831548e-13	2.0535405109947895e-10
CLIC1	7.1379023	0.3019687	9.476605047327467e-13	2.0619624376568786e-10
CNBP	7.0817614	0.35183072	1.4233363031503658e-12	3.0539459554470036e-10
RCSD1	7.011289	0.5551983	2.361324944318503e-12	4.963119510517605e-10
CALM1	6.947198	0.2758319	3.726131926344604e-12	7.778803927585759e-10
ATP6V0E1	6.8705187	0.52027863	6.396896883965885e-12	1.3002955462098284e-09
EIF5A	6.68759	0.4570312	2.2687547197719554e-11	4.464822584509179e-09
EZR	6.6765714	0.31839716	2.4459726275227184e-11	4.783114953960091e-09
NDUFA13	6.530117	0.6434738	6.571836478654673e-11	1.2770442244087636e-08
RNASET2	6.397436	0.33588395	1.580073266095563e-10	2.995062803837706e-08
SRSF10	6.3785715	0.5418374	1.7874723798354314e-10	3.347123279986383e-08
IGLV3-25	6.338541	1.9418304	2.319514269982932e-10	4.291379185608542e-08
TPI1	6.3286724	0.45540848	2.4727920457106443e-10	4.520819871971703e-08
PTGES3	6.2613034	0.39961737	3.8177241754897026e-10	6.938601402947372e-08
CFLAR	6.201118	1.0189315	5.606350293779796e-10	1.0129789767655811e-07
CALR	6.1785917	0.54840344	6.467587355932657e-10	1.1591694350847892e-07
PSMA6	6.11471	1.0069661	9.673279920448628e-10	1.7176743086327658e-07
CYBA	6.0768757	0.14519249	1.2254657725003547e-09	2.1636123413110547e-07
MALAT1	6.0399833	0.18432933	1.5413017335005546e-09	2.7057727079526497e-07
COX5B	5.9955935	0.37909552	2.027433336761443e-09	3.5191914497706914e-07
COX5A	5.9797974	0.598164	2.2341507656437386e-09	3.856343922128189e-07
IGKV4-1	5.9770427	1.2493144	2.2722446081858594e-09	3.878759207686105e-07
S100A9	5.9535055	1.4929103	2.624589562413778e-09	4.4556013027416754e-07
UVRAG	5.8236494	0.48939952	5.757628754489942e-09	9.66812258844977e-07
ADAR	5.81406	0.95501775	6.097548430893323e-09	1.0183565074016812e-06
PPIA	5.754258	0.13807675	8.702316751503062e-09	1.4301887269744155e-06
AC119396.1	5.7298837	0.9655571	1.004994401964587e-08	1.6429265628306795e-06
JPT1	5.7206783	0.9954188	1.0609972752753573e-08	1.7253490954833006e-06
LGALS1	5.7071834	0.73881066	1.1486099097151984e-08	1.8580419047366747e-06
VIM	5.6711974	0.23610233	1.418028028878736e-08	2.2700938864386688e-06
PFN1	5.6239834	0.1514507	1.8660354681452525e-08	2.941576421392034e-06
MIF	5.610419	0.13560306	2.0183734547485514e-08	3.1655677477850757e-06
UBE2L6	5.567215	0.9168571	2.588429825325116e-08	4.01882996548091e-06
S100A6	5.4884434	0.38651553	4.054909265136146e-08	6.202204532916411e-06
EPSTI1	5.4486217	1.6555265	5.076159885931226e-08	7.72601536924222e-06
LIMD2	5.4396954	0.12581089	5.337181798276138e-08	8.083475785359699e-06
EIF2AK2	5.4280486	1.263433	5.697354409457463e-08	8.586885814097914e-06
PSMA7	5.3823686	0.43220153	7.35119695997847e-08	1.0867460883849512e-05
SUMO2	5.349661	0.19500405	8.811931112182453e-08	1.2903423486876836e-05
IL2RG	5.3064218	0.55067664	1.1179811185869237e-07	1.6141244215411298e-05
HLA-E	5.293136	0.11737556	1.2023625594374626e-07	1.7278788836715946e-05
PRRC2C	5.126736	0.39823258	2.9480794111716464e-07	4.1592150487201074e-05
MZB1	5.120948	0.9626383	3.040036476815002e-07	4.269454864734232e-05
ATP5F1D	5.118507	0.30041334	3.079638281441792e-07	4.3055015376338034e-05
CIB1	5.0905066	0.45417958	3.5710865558643785e-07	4.947796471593798e-05
CD53	5.0772905	0.25710642	3.828551354843187e-07	5.2808371076156226e-05
DDX17	5.0583215	0.4635747	4.2296344427889245e-07	5.782434308798646e-05
SP110	5.0353765	0.3219397	4.769098903747092e-07	6.491226820664048e-05
EVI2B	4.980631	0.43885207	6.33773638809478e-07	8.588466718551072e-05
TMSB10	4.9387865	0.08592522	7.861014871493454e-07	0.00010606191112861713
TRIM22	4.8902826	0.7528601	1.0069140495308172e-06	0.00013409751460497266
HSP90AA1	4.860085	0.20775066	1.173353976294764e-06	0.00015559278028145633
DDIT4	4.847706	1.1161574	1.248972680679688e-06	0.0001649124312605142
SARAF	4.8336883	0.22219226	1.3402638210682637e-06	0.00017621332459381338
STAG3	4.7979813	1.5841819	1.6027269132941572e-06	0.00020633105600020656
TRMT112	4.7913213	0.4204037	1.6568665357692461e-06	0.00021241578985752032
PTPRC	4.7894034	0.1481291	1.672779655971704e-06	0.0002135697232667675
PNN	4.7795	0.5657248	1.7573147644604374e-06	0.00022343931801454376
ECH1	4.766075	0.69969016	1.8784912597210623e-06	0.00023706087882044527
CRIP1	4.7261143	0.44347385	2.288570239120737e-06	0.00028397572159884904
SMAP2	4.6932316	0.61673737	2.689226326916465e-06	0.0003323561032909521
NME2	4.68563	0.23762222	2.7910006039837117e-06	0.00034355994287364435
IFIT3	4.6825266	3.104471	2.8336043708387094e-06	0.000347420135896046
MRPS24	4.6687527	0.8632442	3.0303358627738937e-06	0.00036892820599991285
ARID4B	4.658571	0.51381093	3.184122326481466e-06	0.0003858032451815602
IGLV2-14	4.6476912	1.2026188	3.356706157218617e-06	0.0004051255864827485
GTF3A	4.6042085	0.36762983	4.140376764780556e-06	0.0004958341895404064
ATF7IP	4.5913067	0.72634834	4.404799351626387e-06	0.0005214371094528755
IGKV1-12	4.5826936	2.465696	4.590244334569026e-06	0.0005413159511648061
OAS1	4.510966	1.3789594	6.453310778402029e-06	0.0007552573603041194
AIM2	4.497262	0.6068924	6.883416988714658e-06	0.0007965428265929468
SYNGR2	4.4839416	0.14294572	7.327673854005198e-06	0.0008385301446933282
SAT1	4.4695053	0.3942313	7.840069711854019e-06	0.0008905685069380649
GNG5	4.449804	0.4522906	8.594878474622867e-06	0.000969182336607382
DYNLL1	4.432578	0.60573137	9.311301994492411e-06	0.0010423597743617103
PSMB1	4.4184904	0.38625076	9.939267160913901e-06	0.0011086409294973172
UBE2D2	4.4159102	0.22832634	1.0058590125365452e-05	0.0011179146010914258
IGHA2	4.4006023	1.0622033	1.079509153661534e-05	0.0011946144139520505
HERPUD1	4.399207	0.4385368	1.086470046672901e-05	0.0011946144139520505
HSP90B1	4.389967	0.3521979	1.133680010806593e-05	0.001242103237372032
SF3B1	4.3685913	0.41118193	1.2505048787796295e-05	0.0013652596904471454
HSP90AB1	4.3590717	0.08169408	1.306152216654807e-05	0.0014209924309149145
FKBP5	4.342613	2.706296	1.4079790387706939e-05	0.0015210604321992352
XIST	4.326573	1.4043524	1.5144717087322282e-05	0.0016247441800242937
ANXA2	4.3014317	0.5326874	1.6969812577616203e-05	0.0018079872386572683
CCDC50	4.2983284	0.58377975	1.7209120794079858e-05	0.00182718283565184
ZNF706	4.281381	0.57393783	1.8573674182676875e-05	0.00196531099733619
SELENOH	4.26963	0.3163657	1.957973748116384e-05	0.002053903700784374
SRSF11	4.269456	0.4049093	1.95950478756824e-05	0.002053903700784374
ARHGDIB	4.248359	0.046267897	2.153417245013526e-05	0.002247774750648071
IGHG1	4.2443147	0.8184676	2.1926268062186262e-05	0.002280996310832892
JAK1	4.241176	0.1926642	2.223515191581821e-05	0.00230536741188938
EIF4G2	4.239119	0.38735974	2.243988510857192e-05	0.002318813144480089
ARPC5L	4.2358413	0.6460663	2.276978091183009e-05	0.002345059736109381
IGHV4-39	4.223985	1.2692386	2.4001978588107357e-05	0.0024637512705539964
UBE2J1	4.2151284	0.2930813	2.4963630274563847e-05	0.002545548794036961
BST2	4.2113624	0.70720863	2.538353002042914e-05	0.002579851733688155
ITGA4	4.2088165	0.4803245	2.5671147023185922e-05	0.002600529277296313
DRAP1	4.181618	0.5915358	2.8944183799462957e-05	0.002912991683557026
NCL	4.1645665	0.15201314	3.1194450436467686e-05	0.0031090804359211036
STAT1	4.1439934	1.2284678	3.413097143033717e-05	0.003379950718856178
ACTB	4.1428776	0.0916072	3.429752233332564e-05	0.003385592803619049
MRPL20	4.125024	0.7521022	3.706961178668647e-05	0.003647578966156853
CSNK2B	4.1144233	0.5289311	3.8814827195030726e-05	0.0038071800503011563
CNPY3	4.1079726	0.23841624	3.991475683864654e-05	0.0039026779811508296
ZFP36L2	4.086667	0.26922965	4.376146761895102e-05	0.004251880707618646
GUK1	4.086667	0.3780229	4.376146761895102e-05	0.004251880707618646
RHOA	4.0785074	0.07327393	4.532577495751135e-05	0.004390064165712314
AUP1	4.034362	0.43506324	5.475089742701666e-05	0.005205041470161643
RHOG	4.015532	0.45474455	5.931185339626045e-05	0.005621344584000795
ARGLU1	3.990042	0.21991096	6.606160468373314e-05	0.00618880617016755
UBXN1	3.9843233	0.18900664	6.767269543819985e-05	0.006316867888078733
PSMD8	3.9739668	0.5505236	7.068539944082688e-05	0.006578213212419363
PWP1	3.9560087	0.6502718	7.621235874256012e-05	0.007050099545116407
ATP2B1	3.9491045	0.46819803	7.844409837411428e-05	0.007234887484970177
ATRX	3.9364119	0.44025147	8.270899476730642e-05	0.00758296679918536
ACTR3	3.9276595	0.2796058	8.577656071057103e-05	0.007817812378390894
PRDX1	3.9220452	0.48153746	8.780046307284588e-05	0.00797873796341682
COPE	3.9212084	0.42332196	8.810599921985836e-05	0.007983023630193441
S100A4	3.8760169	0.39148706	0.00010618033004549623	0.009518679544956351
HSH2D	3.8757727	0.5720074	0.00010628683830177497	0.009518679544956351
OAZ1	3.868729	0.049479764	0.00010940414842017658	0.00974138320962016
NAA10	3.8616853	0.85592306	0.00011260757405236927	0.009997805216942681
ERH	3.8484347	0.40129668	0.00011887500412426098	0.010524014333602555
HSPD1	3.840275	0.5492458	0.00012289654292664963	0.010848955676584839
SF3B2	3.8031385	0.26084474	0.00014287446735857662	0.012515930854464173
SAMD9L	3.8029292	1.1856341	0.00014299522903925472	0.012515930854464173
SERBP1	3.750868	0.33556634	0.00017622331938723368	0.015337385631288336
PRELID1	3.741	0.37969777	0.00018328954190597176	0.015907575776035982
MTDH	3.7148125	0.27057886	0.0002033543801478117	0.017550391853147874
GSTK1	3.7063391	0.27639037	0.0002102766965828575	0.018046997484223747
IGLV3-21	3.705572	0.83935916	0.0002109142143208568	0.01805156919631998
U2AF1	3.6975868	1.5265431	0.00021765885494146506	0.01857736364952057
RPS19BP1	3.6803958	0.5725877	0.0002328722071896247	0.01978268088695383
PLSCR3	3.6796985	0.7840068	0.0002335099606812133	0.01978268088695383
CYB5R3	3.6794891	0.60076267	0.00023370160610215062	0.01978268088695383
ARL6IP5	3.66453	0.20633736	0.00024779327268403334	0.020918220617810325
TFEB	3.6614265	0.82124734	0.0002508148350799571	0.021115602069388104
TMEM243	3.6585324	0.46981868	0.00025366380576090055	0.021239703540906624
UBXN4	3.6518023	0.42712918	0.00026040627922041315	0.021745331916413795
SNX3	3.6501982	0.18716194	0.00026203790730947675	0.021763938769195974
MS4A1	3.6485593	0.021948792	0.0002637149018629396	0.021844502206056955
SEL1L3	3.6414459	0.6138761	0.0002711110619870766	0.02239710824121579
UBE2I	3.638726	0.28387433	0.00027399004436266507	0.0225745877351287
TP53INP1	3.6313684	1.0137377	0.0002819223097238469	0.02304379260195158
IGLV3-1	3.6271842	1.1037017	0.00028652902367979255	0.023297071696406713
HNRNPA1	3.6237319	0.05722939	0.00029038255643826764	0.02354842479336786
TPR	3.617281	0.5253342	0.0002977140601612871	0.024016896388520333
IFI27	3.6156073	5.1322484	0.00029964441878399707	0.024109670852003013
ATP6V0C	3.6070292	0.28515437	0.00030972283597437893	0.024855860943117886
PSMA5	3.6043093	0.8048432	0.00031298413144139904	0.024994489463292812
IGKC	3.6042395	0.45220882	0.00031306817562528136	0.024994489463292812
MTPN	3.5895245	0.31076825	0.0003312818075379373	0.0263126324100248
SNU13	3.579133	0.32809293	0.0003447358250832165	0.02724118359999013
EDF1	3.552074	0.17553303	0.0003822074081088509	0.02974574883712636
HNRNPDL	3.541334	0.06549717	0.0003981093024952385	0.030828027867657603
MYH9	3.5275602	0.40723324	0.0004194082070842271	0.032315350060552035
PARP9	3.524736	1.3740296	0.0004239052956330667	0.0325806017889922
REEP5	3.5209699	0.5373282	0.000429971476474676	0.032964835505305365
FDFT1	3.4971535	0.46881273	0.00047025096727860164	0.035963723108928106
PPM1K	3.4768593	0.5514424	0.0005073240951341201	0.03860786346640125
TNFAIP8	3.467235	0.38432524	0.0005258417597408232	0.03991875393295385
ITSN2	3.458378	0.36966786	0.0005434381322255763	0.04115345091022949
TAP1	3.4189053	0.7002333	0.0006287363020857436	0.04725346642773591
