	scores	logfoldchanges	pvals	pvals_adj
MZB1	21.640947	3.7428489	7.39690011770829e-104	3.2849633422742516e-100
SPCS3	20.208101	3.0659714	8.308262806190229e-91	1.4348831436446425e-87
FKBP11	20.032343	3.1837988	2.8779801808467284e-89	4.2603699943801065e-86
MYDGF	19.965199	3.0991156	1.1058565076354635e-88	1.5626255114938023e-85
CD38	19.846525	3.3402557	1.1808847960178498e-87	1.5295902355752875e-84
HSP90B1	19.695862	3.077265	2.3398282976547798e-86	2.508215251351522e-83
LMAN1	19.418526	2.680979	5.381260466047641e-84	4.521276867784406e-81
SDF2L1	19.294968	2.9817538	5.9202200032067166e-83	4.719022544607364e-80
RRBP1	18.552803	3.2283149	7.740717125707162e-77	4.718346535036442e-74
SSR3	18.450413	2.5989325	5.1748035391922094e-76	3.035266370242797e-73
PSME2	18.07739	2.1165485	4.802701349294212e-73	2.4883596140918194e-70
TXNDC5	18.030985	2.9757245	1.1129058404083688e-72	5.580145783995961e-70
HM13	17.951246	2.509809	4.692468441105667e-72	2.2442271758254135e-69
SEC11C	17.64714	2.5684881	1.0704039414226915e-69	4.558307853014686e-67
RABAC1	17.636557	1.8824481	1.290914960134877e-69	5.423063968339584e-67
TMEM208	17.597958	2.6649857	2.5537282312558564e-69	1.0585033270006775e-66
FKBP2	17.514051	2.4298532	1.1193511939077842e-68	4.404717793039403e-66
XBP1	17.489244	2.4996636	1.7303585235242483e-68	6.640945113678804e-66
PPIB	17.41827	2.5921168	5.996253627866101e-68	2.2458498377044995e-65
ISG20	17.187342	1.8883445	3.303397418690195e-66	1.180376040860024e-63
TMED9	16.776438	2.1022723	3.6296657097809234e-63	1.2399496474720831e-60
SEC61B	16.558294	2.0610096	1.3949090410695951e-61	4.613142272311755e-59
PRDX4	16.500874	2.3872628	3.616203331126282e-61	1.1833359258391868e-58
P4HB	16.43258	2.1060047	1.1179620712616497e-60	3.582895557660918e-58
RPN2	16.421375	2.0788054	1.3448369558737262e-60	4.2660149435965844e-58
ITM2C	16.38608	2.3086782	2.404608134828296e-60	7.475205308740724e-58
LMAN2	16.307346	2.1065705	8.751152775076748e-60	2.6935355081070385e-57
KDELR2	16.192745	2.1722112	5.6740300270570395e-59	1.6960439562607902e-56
ERLEC1	16.14763	2.2334971	1.1800673088130065e-58	3.493785945625708e-56
SSR4	16.128284	2.0184274	1.614453846084815e-58	4.734766671060249e-56
FNDC3B	16.008366	3.1962051	1.1170694588595365e-57	3.245452174538917e-55
IFI6	15.917899	3.4618404	4.7609573821496717e-57	1.3454898376262442e-54
PDIA6	15.744103	2.076723	7.53920512059886e-56	2.0740820317173165e-53
JCHAIN	15.737447	3.6676788	8.375576036749473e-56	2.2839608092493934e-53
HDLBP	15.666138	2.2815979	2.5777726908751395e-55	6.908208589761678e-53
TXNDC11	15.644299	2.2373767	3.6334820884883366e-55	9.654192964515976e-53
HSPA5	15.626866	2.012772	4.7772299520320266e-55	1.258557182362878e-52
MANF	15.553498	2.325671	1.5064797482088676e-54	3.8704079283114934e-52
DDOST	15.449815	1.8923898	7.566095992766957e-54	1.91225387095241e-51
MRPS24	15.150401	2.1341648	7.530561355934875e-52	1.8007889297842112e-49
CALR	15.118027	1.7732257	1.2317836288829571e-51	2.92308837183851e-49
SUB1	14.787676	2.0683494	1.7592363865151948e-49	4.021278054970431e-47
PDIA4	14.782887	2.2103043	1.8889266618947624e-49	4.286208988198721e-47
TOP1	14.761528	2.0490808	2.5933895802339413e-49	5.842079846429895e-47
CD27	14.750417	2.024564	3.0576927925609506e-49	6.789606845881591e-47
CYTOR	14.66201	2.7555664	1.128801707677823e-48	2.471201315956372e-46
COX5A	14.610289	1.6968143	2.4149298888847878e-48	5.213397601094541e-46
SEC13	14.383526	1.9638836	6.566257559902278e-47	1.38860713445362e-44
