	scores	logfoldchanges	pvals	pvals_adj
MZB1	21.092129	3.7426474	9.393750986521258e-99	4.8373120705091216e-95
FKBP11	19.43397	3.108198	3.983292065571658e-84	6.837320830553752e-81
CD38	19.15887	3.2348177	8.162609872883621e-82	1.0965224227934142e-78
MYDGF	19.084377	2.9391186	3.405075083996664e-81	4.2082641948097966e-78
SPCS3	19.033663	2.8276725	8.975279878101529e-81	1.0665739322834729e-77
HSP90B1	19.019646	3.056617	1.172736635986905e-80	1.342001623781015e-77
SDF2L1	18.922714	3.0059273	7.413587228020803e-80	7.635253486138624e-77
LMAN1	18.909319	2.697483	9.558405501144246e-80	9.526646928027542e-77
RRBP1	17.839396	3.1338542	3.494593118858291e-71	2.037215916855936e-68
SSR3	17.643955	2.4888604	1.1325106955401194e-69	6.362033265473286e-67
HM13	17.565395	2.5261905	4.5352325681754373e-69	2.415949666533043e-66
TXNDC5	17.449566	2.9342113	3.4685600590058986e-68	1.8164084770017838e-65
SEC11C	17.22652	2.625919	1.6795662776711857e-66	8.108368637688536e-64
FKBP2	17.19078	2.488064	3.113102506309931e-66	1.4356048975739992e-63
PSME2	17.16351	2.0688262	4.981001559565826e-66	2.2632059586162548e-63
RABAC1	17.12337	1.9235072	9.935418277517533e-66	4.448907514789264e-63
TMEM208	16.767797	2.5881445	4.197870344313144e-63	1.706600000371621e-60
XBP1	16.522982	2.35053	2.5069138357721456e-61	9.562483553561973e-59
PPIB	16.499012	2.4808462	3.729429860557385e-61	1.4052218829468479e-58
P4HB	16.44093	2.2351592	9.74120486507368e-61	3.626192852002187e-58
ISG20	16.291325	1.8169155	1.1374039500633937e-59	3.99345111876235e-57
PRDX4	16.208555	2.4431431	4.387671242894157e-59	1.5062875376855643e-56
TMED9	16.161524	2.0902002	9.420302164143729e-59	3.1984513842368e-56
SEC61B	16.056173	2.1042442	5.175112739420549e-58	1.7193060033320075e-55
ERLEC1	16.005938	2.33417	1.1615044975286566e-57	3.7382296312648855e-55
ITM2C	15.930489	2.3710308	3.893049963949369e-57	1.2400367498571511e-54
RPN2	15.767773	2.0874631	5.184615832062312e-56	1.6180714683154471e-53
IFI6	15.721221	3.5099058	1.0821794437540833e-55	3.343609827366991e-53
FNDC3B	15.6995	3.2223892	1.5243869756038508e-55	4.6632657807160575e-53
LMAN2	15.617162	2.0308967	5.562757867629556e-55	1.6850248023152e-52
SSR4	15.45679	2.0140693	6.789873653397843e-54	1.9979688216098397e-51
HDLBP	15.205708	2.2651117	3.2410975157848305e-52	9.103653631382173e-50
KDELR2	15.103897	2.0587986	1.5263997666946334e-51	4.248754377618386e-49
MANF	15.0596895	2.2852955	2.981850791724052e-51	8.153118930256464e-49
JCHAIN	15.011942	3.569154	6.132602168587425e-51	1.6620965719547868e-48
HSPA5	14.747846	1.8941796	3.1764393153949036e-49	8.247264330063558e-47
COPE	14.677898	1.6767378	8.9316004092499e-49	2.2806583292941666e-46
PDIA6	14.669765	1.9465309	1.0069316588731179e-48	2.5500956937871087e-46
DDOST	14.658522	1.8739015	1.1883188960802596e-48	2.9849991001781934e-46
TXNDC11	14.6424465	2.1033359	1.5055215240128544e-48	3.751298268340739e-46
DNAJB11	14.617616	2.239396	2.1686306239045652e-48	5.3603344309423485e-46
PDIA4	14.380599	2.1712985	6.849904198430795e-47	1.6534491407727834e-44
IDH2	14.280175	1.9921986	2.908674714865396e-46	6.86025363856459e-44
CALR	14.207741	1.6727843	8.20296159497185e-46	1.891394808954069e-43
CYTOR	14.206688	2.7444067	8.327160506201024e-46	1.905809467852541e-43
SEC61A1	13.9622555	2.0345871	2.649143871385121e-44	5.88853224418605e-42
CD27	13.891112	1.9636801	7.171271837496808e-44	1.5826484711652777e-41
SELENOS	13.859536	1.9371787	1.1139223609127798e-43	2.423722477825504e-41
ZBP1	13.816046	1.9556605	2.0396941180485335e-43	4.376418692037885e-41
CRELD2	13.787005	2.0393322	3.05168052371453e-43	6.370795482514042e-41
LGALS1	13.669358	2.0675645	1.5475440572713745e-42	3.1665211084446135e-40
SUB1	13.66687	1.8929923	1.6013606545202025e-42	3.2550815883362297e-40
DERL1	13.590416	1.95017	4.564765356306469e-42	9.158282806090972e-40
NUCB2	13.544774	2.228751	8.507574544771931e-42	1.674258157387378e-39
CD59	13.525684	2.5239	1.1031266121756092e-41	2.1571710719234048e-39
MRPS24	13.479707	1.847793	2.0592429535861015e-41	3.976526846059361e-39
ATP5MC3	13.387847	1.5461674	7.121526944369247e-41	1.3499007239274638e-38
TMED10	13.238337	1.6239204	5.270345100348004e-40	9.809509190689896e-38
DNAJC3	13.236423	1.9607846	5.4063365301992965e-40	1.0002370046321417e-37
TMBIM6	13.200587	1.4063165	8.70532081947102e-40	1.6010017699952148e-37
NDUFV2	13.1934595	1.6716506	9.569164398818692e-40	1.749458416747344e-37
ELL2	13.169633	2.1238353	1.3123405834533291e-39	2.385140412173971e-37
SEC13	13.12533	1.7894018	2.3575374568376363e-39	4.234932256041421e-37
LIME1	13.112603	1.8634322	2.788582702356932e-39	4.980279754608216e-37
COX5A	13.10581	1.5080285	3.0498939778794356e-39	5.415665185893156e-37
OSTC	13.09337	1.7534348	3.593028457771688e-39	6.34364572912982e-37
RPN1	13.082128	1.7244194	4.166153240531597e-39	7.313729356403679e-37
SAR1B	13.081266	2.0697906	4.2136275899000475e-39	7.3552797539628125e-37
SRPRB	13.047201	1.9645835	6.592475811660246e-39	1.1379202522506515e-36
GAPDH	13.015146	1.2736276	1.0034976233407189e-38	1.722503670464344e-36
MLEC	13.013089	1.9989321	1.030888787935164e-38	1.7597442475598212e-36
SLAMF7	12.991177	2.2570884	1.3729943458991967e-38	2.330846500288323e-36
TXNDC15	12.986871	2.1360705	1.452449284520934e-38	2.4389307360784403e-36
DNAJC1	12.985483	1.9315075	1.4790126152918246e-38	2.4701109607930543e-36
SSR1	12.923765	1.8169849	3.3056008326756586e-38	5.461665718031007e-36
NME1	12.9012785	2.374834	4.4268839956320954e-38	7.275395468778982e-36
TNFRSF17	12.876496	1.9358053	6.10446531019311e-38	9.979347338044261e-36
ARF4	12.855637	1.7402488	7.996514550848097e-38	1.2935513616625846e-35
LRPAP1	12.808367	1.753182	1.4719989498274957e-37	2.3687683100427154e-35
TOP1	12.782675	1.7447655	2.048990409220856e-37	3.2801894649583827e-35
DAD1	12.716556	1.5443105	4.7849315289926365e-37	7.581539971860795e-35
NDUFA6	12.599099	1.7470602	2.1356858857343555e-36	3.349557706169258e-34
SPCS2	12.38634	1.5051848	3.098667718157742e-35	4.7395810142534536e-33
SRP19	12.330028	1.786929	6.242509296169056e-35	9.454647535477222e-33
AQP3	12.29936	1.809536	9.129433686614782e-35	1.369282100074451e-32
ACADVL	12.231901	1.7777768	2.09966630628625e-34	3.0892090412060125e-32
NANS	12.230753	1.9430696	2.1295605239626895e-34	3.1183427255391097e-32
CD320	12.222667	2.335317	2.3523809865138956e-34	3.4122777155079734e-32
NEAT1	12.211568	1.7839298	2.696436018783677e-34	3.8570270218684845e-32
COX7A2	12.198554	1.3065916	3.163923635134845e-34	4.50487320528854e-32
TXNDC17	12.135544	2.2362473	6.845338393200502e-34	9.657553439941366e-32
SRGN	12.105833	1.7657442	9.836521653469206e-34	1.3751991381322988e-31
NDUFS6	12.098322	1.7196991	1.077920137046743e-33	1.5002026339789738e-31
AL133467.1	12.084973	2.8484328	1.2681079565400282e-33	1.7569834768258859e-31
