	scores	logfoldchanges	pvals	pvals_adj
HSP90B1	10.862688	3.6681027	1.7356287324016156e-27	8.93762015750212e-24
MYDGF	10.631297	3.8003464	2.1312824560193015e-26	8.044069550142361e-23
PSME2	10.564661	2.7324243	4.3453546367461615e-26	1.3425842221154616e-22
HM13	10.443466	3.9984243	1.569723186810423e-25	4.409067027534695e-22
MZB1	10.369283	4.0211015	3.420825707604716e-25	8.807770990655242e-22
LMAN1	10.316665	3.9168322	5.924578216800804e-25	1.3075120940321032e-21
SSR3	10.283023	3.6602495	8.404917350218907e-25	1.7312448757980905e-21
TXNDC5	10.261458	4.3827586	1.051074887985349e-24	2.029691300880208e-21
SDF2L1	9.971841	3.7064233	2.024409752938059e-23	3.1274094068263607e-20
PPIB	9.962137	3.136925	2.2321270999091084e-23	3.284096714566273e-20
NME1	9.909087	4.0468926	3.801033042637448e-23	4.893354913265384e-20
SEC61B	9.882346	2.9792404	4.965624864439788e-23	6.136916457463845e-20
MANF	9.815064	3.843204	9.697645388127138e-23	1.1002579468760033e-19
FKBP11	9.806006	3.655537	1.0608385390864756e-22	1.1302320117984425e-19
SPCS3	9.796518	3.2510836	1.1653349546382457e-22	1.1348132920483936e-19
GAPDH	9.661522	2.6834078	4.392897808969051e-22	3.571772726413599e-19
RRM2	9.598767	3.7615025	8.090590473537446e-22	6.096950581972841e-19
SEC11C	9.566636	3.422014	1.1044079216706944e-21	7.935556175781266e-19
JCHAIN	9.519625	4.4965134	1.738061333625396e-21	1.1674104570657361e-18
PSMB2	9.501079	3.4730592	2.077275039938961e-21	1.3655652533828527e-18
ATP5MC3	9.497197	2.6843762	2.156161787148025e-21	1.3878943903648441e-18
SUB1	9.462261	3.0973837	3.0135335329692087e-21	1.8621829113629926e-18
NME2	9.403821	1.8162636	5.261692567909538e-21	3.067368212654736e-18
MRPS24	9.33244	3.2184973	1.0346044313682647e-20	5.511409157928495e-18
HDLBP	9.22246	3.5278816	2.9036193584094105e-20	1.5072983804451842e-17
PCLAF	9.221597	5.381227	2.927077153986182e-20	1.5072983804451842e-17
CALR	9.174585	2.4225664	4.533153000113396e-20	2.259045616846832e-17
TXN	9.156687	3.0904725	5.351523915968063e-20	2.5835317879947694e-17
PDIA4	9.1362	3.3648024	6.468543298065024e-20	3.028160337580531e-17
TMEM208	9.118085	3.1351624	7.646321163441365e-20	3.374976928383541e-17
RPN1	9.106872	2.8727689	8.479168852958632e-20	3.6898715499980685e-17
COX5A	9.096089	2.5392077	9.364318117696243e-20	3.9712896126976536e-17
SEC61G	9.089189	2.9175012	9.978117177620823e-20	4.1661336004993314e-17
CD38	9.073877	3.1452918	1.1485553765529092e-19	4.608690320695485e-17
CD320	9.045628	3.5814645	1.4880849136853251e-19	5.819918933941202e-17
ITM2C	9.042177	3.161565	1.5358249979167653e-19	5.931548120079287e-17
TNFRSF17	9.003575	3.4440799	2.1848360963559293e-19	8.23230254501331e-17
TMEM258	8.952467	2.257928	3.476260009370458e-19	1.263600064817871e-16
LIME1	8.937802	3.021126	3.969858940584859e-19	1.4262410661308185e-16
NDUFAB1	8.925079	2.8732402	4.453805731561529e-19	1.5817153527362822e-16
CRELD2	8.910415	3.2602293	5.084189289649972e-19	1.7650134436215188e-16
