	scores	logfoldchanges	pvals	pvals_adj
HSP90B1	11.556087	3.9082496	6.877217096536529e-31	1.0624268831584456e-26
MZB1	10.963221	4.250945	5.741883809547385e-28	4.435174601589639e-24
SSR3	10.883087	3.845652	1.3878138870591597e-27	7.194313279301384e-24
PSME2	10.859411	2.7861555	1.7990477569250164e-27	7.405874398702648e-24
MYDGF	10.853583	3.7942166	1.917564656426876e-27	7.405874398702648e-24
LMAN1	10.700237	3.9887934	1.0151773540844616e-26	2.8514486099225103e-23
IFI6	10.670127	5.982995	1.4043473201624015e-26	3.615843262588143e-23
SPCS3	10.642445	3.5042067	1.891024266785552e-26	4.1733554836338e-23
SEC61G	10.566925	3.4654524	4.241770745004439e-26	8.737199380560143e-23
TXNDC5	10.539364	4.3770804	5.688252538283462e-26	1.0338231686784948e-22
HM13	10.468579	3.8813	1.2043720417987622e-25	2.0673046097475755e-22
FKBP11	10.409572	3.8350708	2.242280615040476e-25	3.6463023243634513e-22
MANF	10.3464365	3.9050221	4.343535009312458e-25	6.710110059136351e-22
SEC61B	10.326403	3.0897262	5.353042523307097e-25	7.875854992505685e-22
SDF2L1	10.258411	3.7234683	1.0847699643651658e-24	1.3965057328746051e-21
TXN	10.250641	3.5040164	1.1756190447447827e-24	1.397042370210752e-21
RRM2	10.238378	3.892976	1.334553581377685e-24	1.4726322144223692e-21
PSMB2	10.230971	3.6686265	1.44066964558483e-24	1.5349093117115342e-21
PPIB	10.22053	3.1559815	1.6046151484035699e-24	1.6525931413408367e-21
TMEM258	10.174514	2.6483724	2.5768370206715364e-24	2.568275271860918e-21
IFITM1	10.166986	3.3294384	2.7838958638985236e-24	2.6879384533397714e-21
SUB1	10.1242485	3.3327432	4.312799172173186e-24	4.03795624311015e-21
GAPDH	10.055042	2.7566693	8.72840735236295e-24	7.491155610165503e-21
NME1	10.009148	3.9660585	1.389445489393963e-23	1.1602620888055478e-20
ATP5MC3	9.900968	2.7304637	4.1226729752358084e-23	3.0328149265681136e-20
JCHAIN	9.848516	4.4707365	6.956310726419041e-23	4.998351918934165e-20
SEC11C	9.816463	3.4419746	9.564031673572378e-23	6.566664147074795e-20
