	scores	logfoldchanges	pvals	pvals_adj
PSME2	12.113179	3.106994	8.993944175493064e-34	2.1507287891042526e-30
HSP90B1	12.029876	3.4518235	2.4753175377470745e-33	5.130013086396221e-30
MYDGF	11.779967	3.787958	4.951215855269724e-32	6.831602683010288e-29
MZB1	11.778229	4.1930294	5.054423447397196e-32	6.831602683010288e-29
TXNDC5	11.717012	4.887583	1.0428556923591382e-31	1.2967701963347413e-28
GAPDH	11.589189	2.7342572	4.675425525074267e-31	5.011894941309785e-28
HM13	11.542754	3.60151	8.031175816172106e-31	7.580925902103596e-28
SSR3	11.413713	3.4243708	3.571511635449277e-30	2.775689555280292e-27
SDF2L1	11.313889	3.9623973	1.1201259585099995e-29	7.569859928739208e-27
LMAN1	11.291106	3.6158853	1.4519715189633268e-29	9.603710342555944e-27
PPIB	11.281889	2.9045215	1.6124533835697358e-29	1.0229864966333138e-26
SUB1	11.189369	3.016829	4.5969249842469234e-29	2.8580921397056823e-26
FKBP11	11.165717	3.8249273	6.000480677762119e-29	3.5195649590488866e-26
RRM2	11.1185875	4.3511915	1.0187170935274743e-28	5.864603386386777e-26
SPCS3	11.093197	3.5299728	1.3536204736561283e-28	7.65090902991783e-26
PDIA4	11.050241	3.8599532	2.1862679477992337e-28	1.1923598542672769e-25
SEC61B	11.042937	2.8632956	2.3715256279032606e-28	1.2710968481832528e-25
NME1	11.022937	3.9121125	2.9623191021813497e-28	1.560840914059519e-25
SEC11C	11.002937	3.5327554	3.6988226446379857e-28	1.8850049107190337e-25
MANF	10.961895	3.7766657	5.826641844305867e-28	2.9214970163538144e-25
COX6A1	10.878766	1.8674619	1.4551971080853424e-27	6.751897387917767e-25
JCHAIN	10.83181	4.3461757	2.4329733944157272e-27	1.1122624104735546e-24
RAN	10.817898	2.285483	2.831997689590642e-27	1.275917567772526e-24
CALR	10.675987	2.4191751	1.318490304520299e-26	5.538906499543586e-24
TXN	10.6001625	3.2558382	2.974642212398069e-26	1.203315316969514e-23
MIF	10.524511	1.6927701	6.660621828768586e-26	2.588234384886613e-23
HSPA5	10.499642	2.6200569	8.670823872935227e-26	3.287193923633383e-23
P4HB	10.482599	2.8304954	1.038499665936702e-25	3.8896191704788255e-23
PDIA6	10.398079	2.753496	2.5298262062613505e-25	9.039621525752483e-23
HDLBP	10.380166	3.3089232	3.052441509701221e-25	1.0661938113717063e-22
ATP5MC3	10.349384	2.2972655	4.211875269165124e-25	1.4548285165837357e-22
SSR4	10.309211	1.9718164	6.402500053810497e-25	2.1401561201377087e-22
KDELR2	10.302255	2.847382	6.882914595849343e-25	2.2762677238422184e-22
PRDX4	10.2899065	3.6132753	7.825219643010971e-25	2.5339854483571046e-22
SEC61G	10.24556	2.5973997	1.2390576762868163e-24	3.9709882456420885e-22
XBP1	10.23043	3.4276452	1.4487551217912466e-24	4.595658211339233e-22
CHCHD2	10.2149515	1.7909367	1.6996421852059784e-24	5.33704814257558e-22
NME2	10.212865	1.6807685	1.736608264878198e-24	5.398594113026854e-22
SRGN	10.207299	2.8023682	1.8391239440602e-24	5.635392739796499e-22
