	scores	logfoldchanges	pvals	pvals_adj
IFITM1	13.774033	2.3293512	3.6524362099786986e-43	3.761644052657061e-39
IFI44L	9.911295	3.844869	3.7179488516416255e-23	6.045971877324805e-20
ISG20	8.832272	0.95620084	1.025708297671065e-18	1.3204712197142873e-15
XAF1	7.7496586	1.8823801	9.213990208255313e-15	8.626807741347407e-12
LY6E	7.6054993	0.717602	2.8380635040469527e-14	2.4357680023482975e-11
ISG15	6.92948	1.9051791	4.223903916295133e-12	2.7297885231179394e-09
CYBA	6.7107844	0.315239	1.935807346732098e-11	1.1234921075196975e-08
BTG1	6.6821604	0.43002856	2.354449509765221e-11	1.3226441182402916e-08
TMSB10	6.5038033	0.26231	7.831429235971463e-11	4.171856363858798e-08
IRF7	6.3003173	1.5052807	2.9703683378413415e-10	1.4647660060845624e-07
B2M	6.299467	0.14827168	2.9867061003763294e-10	1.4647660060845624e-07
TRIM22	6.066507	1.3289211	1.3072209296513731e-09	5.769886437634068e-07
RPL28	5.9481373	0.16177449	2.712108291480719e-09	1.1478905463271202e-06
HLA-C	5.926221	0.27794203	3.0998597995944805e-09	1.2602153714219823e-06
MX1	5.900903	1.4644892	3.6151739617149583e-09	1.4320260242962444e-06
SMCHD1	5.831563	0.61277276	5.491061663944484e-09	2.0945349658134906e-06
S100A8	5.7748814	2.111499	7.7007240112399e-09	2.8324913068485614e-06
TMSB4X	5.6174965	0.22579241	1.9374418448930582e-08	6.725970863107957e-06
IFITM2	5.5450387	0.46472168	2.9388898524351636e-08	9.869878235944485e-06
FAU	5.320864	0.112805344	1.0327547776429657e-07	3.1283357220426184e-05
EIF2AK2	5.0726	1.3621874	3.924167471890142e-07	0.0001092297318729637
CXCR4	5.056918	0.7902252	4.2608590289696854e-07	0.00011754264412328248
HLA-DQB1	5.0374575	0.27619722	4.7175599654103866e-07	0.0001289897789834378
RNF213	4.920883	1.0333518	8.615461081322451e-07	0.0002294757767496722
EPSTI1	4.810354	1.8335925	1.5066287117670641e-06	0.0003911790530039242
IFIT3	4.714752	3.595838	2.420053541851182e-06	0.0006179536717568262
MALAT1	4.6275573	0.1833422	3.7000403074456655e-06	0.0009294320762532416
COX6A1	4.606585	0.33575433	4.0933552962806035e-06	0.0010199386982998532
RPL36	4.5574613	0.17159781	5.17756216045514e-06	0.0012497745161842379
IFI6	4.5071096	1.7671853	6.571674981361041e-06	0.001573992572861334
SP100	4.175807	0.4153853	2.9693134514273067e-05	0.006506587071542517
CNBP	4.1725006	0.30212554	3.012746655463515e-05	0.006555269958722269
PSME2	4.1193147	0.553281	3.8000080813817906e-05	0.00821040906926246
TXNIP	4.095131	0.3959029	4.219302774053398e-05	0.008990606745512263
STAT1	4.070002	1.4382396	4.7012736034779434e-05	0.009818524485280087
COTL1	4.0235233	0.4881666	5.733390648279025e-05	0.011888897373146108
ODC1	4.006141	0.8854126	6.171880426003191e-05	0.012545565100146091
PCBP1	4.003307	0.739785	6.246316771845858e-05	0.012613885575145194
LAPTM5	3.9779894	0.17829987	6.950049300883376e-05	0.013532235604098736
PPM1K	3.907421	0.64928603	9.328649774794707e-05	0.017363089885050125
RPL36AL	3.8768132	0.20455736	0.00010583356304597433	0.019463926175187315
HNRNPDL	3.8426154	0.21216722	0.0001217301265509392	0.022124092470849226
TCL1A	3.8075676	1.9522759	0.00014034044462487696	0.024636924531675132
CCND3	3.7136655	0.8757182	0.00020427881303807047	0.03411677019695818
LYN	3.6933546	0.7743732	0.00022131504222954842	0.036763284192292245
HBB	3.6030424	2.476082	0.000314514195191286	0.04932764004479778
MRPL20	3.598319	1.1944401	0.00032028067820114215	0.04976332664053272
SELL	3.5550523	0.53992873	0.00037790402281976017	0.05625623625206605
ADAR	3.4666293	0.8252398	0.0005270280514749822	0.07334948516406542
IFITM3	3.2760856	1.635167	0.0010525662647516611	0.1366434448824877
RPL14	3.259648	0.060241837	0.0011155052778231843	0.14077033002759523
HNRNPA2B1	3.2594593	0.08208021	0.001116248530820495	0.14077033002759523
ITM2B	3.205045	0.2880832	0.0013504132476597722	0.16426660674387394
IFI16	3.1607392	0.5998811	0.0015736933723188864	0.18629273610933578
SUB1	3.12947	0.32688037	0.0017512195447637526	0.20417898216817232
CLEC2D	3.0840304	0.8302066	0.002042166748717162	0.23028038698946768
TMEM123	3.0231926	0.93511707	0.0025012305825591863	0.27307604702943883
S100A9	2.9693453	1.2576631	0.0029843505927171694	0.3083862216159946
BST2	2.904634	0.5616363	0.003676826511964407	0.3617927029941538
CHD2	2.874593	0.46832147	0.0040454859927720405	0.39182877968237534
MYL12A	2.864107	0.16721441	0.004181867695889412	0.40251453644827156
HSH2D	2.812338	0.6086981	0.004918278690523904	0.4522620735152293
PLPP5	2.801852	0.9911969	0.0050810179787079395	0.45505347898747356
LIMD2	2.8017576	0.087296	0.005082505965412821	0.45505347898747356
MX2	2.7757785	1.2750539	0.005506969875087495	0.484754553363471
HLA-E	2.7666152	0.08272453	0.005664158625686361	0.49063778395369984
PLSCR1	2.7663317	1.5560297	0.005669084016942449	0.49063778395369984
SNHG7	2.697464	0.4209239	0.0069869861741125305	0.5724201928085461
COX6B1	2.6951966	0.1864199	0.0070347102330467655	0.5724201928085461
UBE2L6	2.6948187	0.6561182	0.007042692640652269	0.5724201928085461
HLA-DMA	2.6223612	0.13031965	0.00873228428736648	0.6735678685780905
MS4A1	2.6158428	0.15159881	0.008900752694921719	0.6807092970668227
PTMA	2.6085687	0.08009457	0.009092176101933625	0.6902235012811873
RAC1	2.597138	0.8936724	0.009400415945695653	0.7066779841220403
UVRAG	2.577205	0.42508176	0.00996028512064956	0.7379926363853944
UBXN1	2.5720093	0.20417102	0.010111019240727707	0.7420431389091781
HNRNPA1	2.5672858	0.11574911	0.010249809372699375	0.7469065098780486
IFI27	2.545558	27.353357	0.010910324944513428	0.7862813692985364
LINC00926	2.5190122	0.26759914	0.011768457537919734	0.8314999337370875
RPS15	2.5007796	0.044899993	0.0123920229301157	0.8584671131654368
IGKV3-20	2.4764068	0.9106324	0.01327122863565056	0.8913938068602073
STAT2	2.4565682	1.3391778	0.014027113800176037	0.9243277184332531
CMPK2	2.433518	4.736812	0.014952896458275314	0.962499253898609
SRSF10	2.433518	0.25417173	0.014952896458275314	0.962499253898609
PTP4A1	2.4167025	1.1252263	0.01566181479256079	1.0
NEAT1	2.4104674	0.55703056	0.015932091237166508	1.0
HSP90AA1	2.3852444	0.12408118	0.01706778278768636	1.0
SFPQ	2.3563368	0.48698956	0.018456173988179503	1.0
SAMD9	2.348307	0.9231062	0.018858971182057628	1.0
CD74	2.3126922	0.055984933	0.020739567310943157	1.0
MBNL1	2.305607	0.21202919	0.021132598939018823	1.0
SERP1	2.305418	0.13275923	0.021143168010810433	1.0
GNB2	2.2949321	0.48176447	0.02173701759434311	1.0
HERC5	2.2807617	2.2323635	0.022562549503029928	1.0
SHISA5	2.2712204	0.44069928	0.02313363997452847	1.0
KLF2	2.2610178	0.38248822	0.023758158052852345	1.0
IFI44	2.251004	1.9885472	0.024385280944452047	1.0
PARP14	2.2471309	0.616671	0.02463166742502042	1.0
SELENOH	2.2352278	0.15377028	0.02540240063639217	1.0
COX5B	2.2183177	0.124312855	0.026533169822484257	1.0
CALR	2.1741064	0.26416382	0.029697145823814195	1.0
HMGB1	2.167588	0.102502815	0.030190044279144686	1.0
XIST	2.144821	1.2257109	0.031967157693091795	1.0
UQCR11	2.1412313	0.19027227	0.032255395684843854	1.0
TSPAN3	2.1333904	0.27097422	0.03289272086026338	1.0
CIRBP	2.1328235	0.10084046	0.03293920754407262	1.0
NCF1	2.1196923	0.10302137	0.03403200022708563	1.0
ARID5B	2.1119459	0.55920833	0.03469109123206474	1.0
UBE2D3	2.0974922	0.19461355	0.035950031559408874	1.0
MIS18BP1	2.0819993	0.37592494	0.03734253783914402	1.0
HCST	2.0760477	1.0380497	0.03788953807360274	1.0
MPHOSPH8	2.068018	0.32620317	0.03863834343975629	1.0
IGKC	2.0600824	0.39311105	0.03939065664017213	1.0
RBM39	2.0533752	0.09822966	0.0400362036996134	1.0
SSU72	2.0470457	0.57738197	0.04065359028432405	1.0
EIF5A	2.0449674	0.14734131	0.0408580662444078	1.0
UQCR10	2.0429835	0.27147198	0.041054060213262016	1.0
OAS2	2.02494	1.2508298	0.0428735192982608	1.0
PTPRCAP	2.0218227	0.07780661	0.04319468325064425	1.0
OAS1	2.0157766	0.7022762	0.043823343402610404	1.0
SAP18	1.9919704	0.18961915	0.046374302557714006	1.0
TYMP	1.9917815	0.8313854	0.04639503793299972	1.0
ADK	1.9726043	0.6304181	0.04854066137842195	1.0
HSP90AB1	1.9384066	0.09577796	0.05257363783447501	1.0
IFIT2	1.9321716	1.624333	0.05333832448589666	1.0
RNF187	1.9010913	1.2155774	0.05729004406825641	1.0
GNG5	1.8791746	0.25147596	0.06022065566477446	1.0
CD22	1.8743567	0.3939928	0.06088127801442661	1.0
IRF1	1.832696	0.4947095	0.06684780336565008	1.0
CDC42	1.8311844	0.09851798	0.06707302061059285	1.0
ANAPC11	1.799065	0.4335898	0.07200839741804778	1.0
SF3B1	1.7956642	0.2396375	0.0725479494568032	1.0
TSC22D3	1.7950028	0.032942727	0.07265324572124975	1.0
WDR33	1.7918854	0.7333412	0.07315132860179527	1.0
NSD3	1.7590102	0.3088771	0.0785757736560585	1.0
PARP9	1.7421948	1.0170702	0.0814743711321415	1.0
RNASET2	1.7333146	0.031206995	0.08303975226959279	1.0
LAMP1	1.73237	0.71349823	0.08320770671893538	1.0
DDIT3	1.7120591	0.7484538	0.08688576112071403	1.0
ZRANB2	1.6955272	0.3521762	0.08997546643302592	1.0
GPBP1	1.6912761	0.37640163	0.09078409392123848	1.0
CSK	1.6890088	0.16126442	0.09121774596309713	1.0
IRF8	1.6872139	0.33395332	0.09156223360520574	1.0
CD40	1.68079	0.43561438	0.09280371240154879	1.0
ELF1	1.6706818	0.30934134	0.0947845400392515	1.0
KHDRBS1	1.6576451	0.277705	0.09738911584852628	1.0
DCK	1.6268482	0.4563552	0.10376932560234606	1.0
UBE2J1	1.6227862	0.26488397	0.10463513493215341	1.0
KMT2E	1.6211802	0.16969371	0.10497900979138872	1.0
WDR74	1.6206133	0.70985466	0.10510059134987332	1.0
PRRC2C	1.6177793	0.17114982	0.10571017642765067	1.0
RASAL3	1.6174959	1.0030228	0.10577128887584045	1.0
ARGLU1	1.6137171	0.063157715	0.10658880218885419	1.0
IFI35	1.6056873	0.8346326	0.10834264387136598	1.0
TAF1D	1.6040813	0.3313226	0.10869613757986327	1.0
RPL24	1.5972795	-0.014714891	0.1102034133639781	1.0
FCRL5	1.5956736	0.60353607	0.11056169657688358	1.0
JCHAIN	1.5935953	0.41117403	0.1110267220722025	1.0
SAMD9L	1.5927451	0.676507	0.11121740424483893	1.0
RPL22L1	1.5626094	0.11845736	0.11814448423346895	1.0
FAM3C	1.5583583	0.70618474	0.11914832380261203	1.0
UBB	1.5529736	0.024609417	0.12042943560667539	1.0
EVL	1.550423	0.17394064	0.12104002967972034	1.0
EAF2	1.5477779	0.38094813	0.12167579392863438	1.0
SRM	1.5458884	0.8922584	0.12213150774241244	1.0
DDX24	1.5399369	0.17200844	0.12357572953470186	1.0
SCPEP1	1.5332296	0.68357545	0.12521928521226097	1.0
PRR13	1.5313402	0.00053161714	0.12568532118448364	1.0
COX7C	1.53049	-0.019462274	0.1258954777813057	1.0
PSMB8	1.528884	0.17440027	0.1262931870181753	1.0
POLE4	1.5217988	0.40315968	0.12805947686639774	1.0
SERF2	1.5188704	0.008777952	0.12879512939590707	1.0
CALHM6	1.515564	0.34553286	0.12962964682124847	1.0
FUS	1.5117851	0.09597985	0.13058851516795536	1.0
NENF	1.5042276	0.9134187	0.13252274957346	1.0
PTOV1	1.501677	0.7773369	0.13318053792879672	1.0
MACROD2	1.4896795	1.548428	0.13630853042471622	1.0
ARHGAP45	1.4873178	0.40279484	0.1369309042718592	1.0
SON	1.4873178	0.048684712	0.1369309042718592	1.0
FNBP4	1.4796658	0.18747658	0.13896245987182224	1.0
IFIT1	1.4742811	3.349735	0.1404059315395506	1.0
DRAP1	1.4686129	0.23094599	0.1419378052545567	1.0
ANP32B	1.4632282	0.065803505	0.14340494498864545	1.0
CHURC1	1.4187334	0.3796954	0.15597676378110334	1.0
UBL5	1.4029571	0.12886477	0.16062964019029768	1.0
EIF1B	1.4027681	0.21453828	0.1606859920006296	1.0
GABARAP	1.3967221	-0.0059252796	0.16249714738618803	1.0
GRK6	1.3937936	0.63645643	0.16337994345511275	1.0
DBI	1.3868973	0.22782207	0.16547306112367832	1.0
NOP10	1.3754666	0.45795515	0.16898682318817115	1.0
FCHSD2	1.3747109	0.5126665	0.16922109591673562	1.0
NEMF	1.3680036	0.4055463	0.17131095123613993	1.0
IGLV2-8	1.3643193	0.8373026	0.17246709165144425	1.0
RAB30	1.3630912	0.5726051	0.17285376579032974	1.0
TBC1D1	1.3599738	0.73080075	0.1738382338869664	1.0
WDR83OS	1.3548725	0.15877895	0.17545820755984187	1.0
TCF25	1.3544946	0.23428144	0.17557865212684098	1.0
CD53	1.3536444	0.057169043	0.1758498778796127	1.0
UBE2D2	1.3475983	0.0651693	0.17778761141176957	1.0
RHOH	1.3460869	0.2099177	0.17827451945126882	1.0
MT2A	1.3385293	0.7113673	0.18072395282737652	1.0
SUMO2	1.3359786	-0.0034487334	0.18155625195501346	1.0
HMGN2	1.3331445	-0.0014155937	0.18248436098597343	1.0
RAC2	1.3316331	0.00087612914	0.18298078862093692	1.0
